"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6T987YVH","journalArticle","2015","Head, Megan L.; Holman, Luke; Lanfear, Rob; Kahn, Andrew T.; Jennions, Michael D.","The Extent and Consequences of P-Hacking in Science","PLOS Biology","","1545-7885","10.1371/journal.pbio.1002106","https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002106","A focus on novel, confirmatory, and statistically significant results leads to substantial bias in the scientific literature. One type of bias, known as “p-hacking,” occurs when researchers collect or select data or statistical analyses until nonsignificant results become significant. Here, we use text-mining to demonstrate that p-hacking is widespread throughout science. We then illustrate how one can test for p-hacking when performing a meta-analysis and show that, while p-hacking is probably common, its effect seems to be weak relative to the real effect sizes being measured. This result suggests that p-hacking probably does not drastically alter scientific consensuses drawn from meta-analyses.","2015-03-13","2020-06-15 14:41:01","2020-06-15 14:41:01","2020-06-15 14:41:01","e1002106","","3","13","","PLOS Biology","","","","","","","","en","","","","","PLoS Journals","","Publisher: Public Library of Science","","C:\Users\hmosh\Zotero\storage\4MW85WG6\article.html; C:\Users\hmosh\Zotero\storage\63ID2MB6\Head et al. - 2015 - The Extent and Consequences of P-Hacking in Scienc.pdf","","","Binomials; Medicine and health sciences; Meta-analysis; Psychology; Publication ethics; Research validity; Statistical data; Test statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDXJ6QBL","journalArticle","2012","John, Leslie K.; Loewenstein, George; Prelec, Drazen","Measuring the Prevalence of Questionable Research Practices With Incentives for Truth Telling","Psychological Science","","0956-7976","10.1177/0956797611430953","https://doi.org/10.1177/0956797611430953","Cases of clear scientific misconduct have received significant media attention recently, but less flagrantly questionable research practices may be more prevalent and, ultimately, more damaging to the academic enterprise. Using an anonymous elicitation format supplemented by incentives for honest reporting, we surveyed over 2,000 psychologists about their involvement in questionable research practices. The impact of truth-telling incentives on self-admissions of questionable research practices was positive, and this impact was greater for practices that respondents judged to be less defensible. Combining three different estimation methods, we found that the percentage of respondents who have engaged in questionable practices was surprisingly high. This finding suggests that some questionable practices may constitute the prevailing research norm.","2012-05-01","2020-06-10 21:06:31","2020-06-10 21:06:31","2020-06-10 21:06:31","524-532","","5","23","","Psychol Sci","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","C:\Users\hmosh\Zotero\storage\UGN8K4IX\John et al. - 2012 - Measuring the Prevalence of Questionable Research .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P5TVQVK5","journalArticle","2005","Broome, Marion E.; Pryor, Erica; Habermann, Barbara; Pulley, Leavonne; Kincaid, Harold","The Scientific Misconduct Questionnaire—Revised (SMQ-R): Validation and Psychometric Testing","Accountability in Research","","0898-9621, 1545-5815","10.1080/08989620500440253","https://www.tandfonline.com/doi/full/10.1080/08989620500440253","","2005-10","2020-06-10 20:55:20","2020-06-10 20:55:20","2020-06-10 20:55:20","263-280","","4","12","","Accountability in Research","The Scientific Misconduct Questionnaire—Revised (SMQ-R)","","","","","","","en","","","","","DOI.org (Crossref)","","","<p>Provides an initial questionnaire development and factor analysis with some known-groups analysis for validation.</p> <p>Means of individual items could be interesting.</p> <p>p276: ""Just over one-fifth (21.5%, n = 334) of all respondents indicated that they had first-hand knowledge of an occurrence of scientific misconduct. An in-depth qualitative analysis of these data is on-going, and beyond the scope of this paper, but will be reported elsewhere."" </p>","C:\Users\hmosh\Zotero\storage\LDH9LFWK\Broome et al. - 2005 - The Scientific Misconduct Questionnaire—Revised (S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4QU4SFY","journalArticle","2019","Beaudry, Jennifer L.; Kaufman, Jordy; Johnstone, Tom; Given, Lisa","Open Science Survey","","","","10.17605/OSF.IO/BK8Y7","https://osf.io/bk8y7/","University-wide survey of open science practices, attitudes, & barriers (10-25 min to complete)      Hosted on the Open Science Framework","2019-10-25","2020-07-27 15:07:41","2020-07-27 15:07:41","2020-07-08 09:55:34","","","","","","","","","","","","","","en","","","","","osf.io","","Publisher: OSF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSY6MR2S","journalArticle","2016","Kim, Youngseek; Stanton, Jeffrey M.","Institutional and individual factors affecting scientists' data-sharing behaviors: A multilevel analysis","Journal of the Association for Information Science and Technology","","23301635","10.1002/asi.23424","http://doi.wiley.com/10.1002/asi.23424","","2016-04","2020-07-27 15:07:39","2020-07-27 15:07:39","2020-07-07 15:14:36","776-799","","4","67","","J Assn Inf Sci Tec","Institutional and individual factors affecting scientists' data-sharing behaviors","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2XS7P7K","journalArticle","2012","Kim, Youngseek","Factors influencing STEM researchers' data sharing behaviors:","Proceedings of the American Society for Information Science and Technology","","00447870","10.1002/meet.14504901348","http://doi.wiley.com/10.1002/meet.14504901348","","2012","2020-07-27 15:07:38","2020-07-27 15:07:38","2020-07-07 15:17:54","1-5","","1","49","","Proc. Am. Soc. Info. Sci. Tech.","Factors influencing STEM researchers' data sharing behaviors","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NADAF7K","journalArticle","2017","Linek, Stephanie B.; Fecher, Benedikt; Friesike, Sascha; Hebing, Marcel","Data sharing as social dilemma: Influence of the researcher’s personality","PLOS ONE","","1932-6203","10.1371/journal.pone.0183216","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183216","It is widely acknowledged that data sharing has great potential for scientific progress. However, so far making data available has little impact on a researcher’s reputation. Thus, data sharing can be conceptualized as a social dilemma. In the presented study we investigated the influence of the researcher's personality within the social dilemma of data sharing. The theoretical background was the appropriateness framework. We conducted a survey among 1564 researchers about data sharing, which also included standardized questions on selected personality factors, namely the so-called Big Five, Machiavellianism and social desirability. Using regression analysis, we investigated how these personality domains relate to four groups of dependent variables: attitudes towards data sharing, the importance of factors that might foster or hinder data sharing, the willingness to share data, and actual data sharing. Our analyses showed the predictive value of personality for all four groups of dependent variables. However, there was not a global consistent pattern of influence, but rather different compositions of effects. Our results indicate that the implications of data sharing are dependent on age, gender, and personality. In order to foster data sharing, it seems advantageous to provide more personal incentives and to address the researchers’ individual responsibility.","2017-08-17","2020-07-27 15:07:36","2020-07-27 15:07:36","2020-07-03 09:53:25","e0183216","","8","12","","PLOS ONE","Data sharing as social dilemma","","","","","","","en","","","","","PLoS Journals","","","","","","","1564 respondents; Germany; open data; personality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUJDQLV7","journalArticle","2017","Héroux, Martin E.; Loo, Colleen K.; Taylor, Janet L.; Gandevia, Simon C.","Questionable science and reproducibility in electrical brain stimulation research","PLOS ONE","","1932-6203","10.1371/journal.pone.0175635","https://dx.plos.org/10.1371/journal.pone.0175635","","2017-04-26","2020-07-27 15:37:34","2020-07-27 15:37:34","2020-07-27 15:37:33","e0175635","","4","12","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\Q6FG7U3H\Héroux et al. - 2017 - Questionable science and reproducibility in electr.pdf","","","","Wicherts, Jelte M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVE3DLNM","journalArticle","2020","Swift, Joshua K.; Christopherson, Cody D.; Bird, Megan O.; Zöld, Amanda; Goode, Jonathan","Questionable research practices among faculty and students in APA-accredited clinical and counseling psychology doctoral programs.","Training and Education in Professional Psychology","","1931-3926, 1931-3918","10.1037/tep0000322","http://doi.apa.org/getdoi.cfm?doi=10.1037/tep0000322","","2020-04-27","2020-07-27 16:00:40","2020-07-27 16:00:40","2020-07-27 16:00:40","","","","","","Training and Education in Professional Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGMSBHTX","report","2019","Flake, Jessica Kay; Fried, Eiko I","Measurement Schmeasurement: Questionable Measurement Practices and How to Avoid Them","","","","","https://osf.io/hs7wm","In this paper, we define questionable measurement practices (QMPs) as decisions researchers make that raise doubts about the validity of the measures, and ultimately the validity of study conclusions. Doubts arise for a host of reasons including a lack of transparency, ignorance, negligence, or misrepresentation of the evidence. We describe the scope of the problem and focus on how transparency is a part of the solution. A lack of measurement transparency makes it impossible to evaluate potential threats to internal, external, statistical conclusion, and construct validity. We demonstrate that psychology is plagued by a measurement schmeasurement attitude: QMPs are common, hide a stunning source of researcher degrees of freedom, pose a serious threat to cumulative psychological science, but are largely ignored. We address these challenges by providing a set of questions that researchers and consumers of scientific research can consider to identify and avoid QMPs. Transparent answers to these measurement questions promote rigorous research, allow for thorough evaluations of a study’s inferences, and are necessary for meaningful replication studies.","2019-01-17","2020-07-27 16:13:58","2020-07-27 16:13:58","2020-07-27 16:13:58","","","","","","","Measurement Schmeasurement","","","","","PsyArXiv","","","","preprint","","","DOI.org (Crossref)","","DOI: 10.31234/osf.io/hs7wm","","C:\Users\hmosh\Zotero\storage\UHVKL2YT\Flake and Fried - 2019 - Measurement Schmeasurement Questionable Measureme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
