"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A4F6ZJPT","journalArticle","2016","Fiedler, Klaus; Schwarz, Norbert","Questionable Research Practices Revisited","Social Psychological and Personality Science","","1948-5506","10.1177/1948550615612150","https://doi.org/10.1177/1948550615612150","The current discussion of questionable research practices (QRPs) is meant to improve the quality of science. It is, however, important to conduct QRP studies with the same scrutiny as all research. We note problems with overestimates of QRP prevalence and the survey methods used in the frequently cited study by John, Loewenstein, and Prelec. In a survey of German psychologists, we decomposed QRP prevalence into its two multiplicative components, proportion of scientists who ever committed a behavior and, if so, how frequently they repeated this behavior across all their research. The resulting prevalence estimates are lower by order of magnitudes. We conclude that inflated prevalence estimates, due to problematic interpretation of survey data, can create a descriptive norm (QRP is normal) that can counteract the injunctive norm to minimize QRPs and unwantedly damage the image of behavioral sciences, which are essential to dealing with many societal problems.","2016-01-01","2020-06-10 21:10:43","2020-06-10 21:10:43","2020-06-10 21:10:43","45-52","","1","7","","Social Psychological and Personality Science","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","<p>German psychologists, similar to John et al., 2012</p>","C:\Users\hmosh\Zotero\storage\BDZD2DKN\Fiedler and Schwarz - 2016 - Questionable Research Practices Revisited.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BM8WV7MQ","journalArticle","2009","Fanelli, Daniele","How Many Scientists Fabricate and Falsify Research? A Systematic Review and Meta-Analysis of Survey Data","PLOS ONE","","1932-6203","10.1371/journal.pone.0005738","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005738","The frequency with which scientists fabricate and falsify data, or commit other forms of scientific misconduct is a matter of controversy. Many surveys have asked scientists directly whether they have committed or know of a colleague who committed research misconduct, but their results appeared difficult to compare and synthesize. This is the first meta-analysis of these surveys. To standardize outcomes, the number of respondents who recalled at least one incident of misconduct was calculated for each question, and the analysis was limited to behaviours that distort scientific knowledge: fabrication, falsification, “cooking” of data, etc… Survey questions on plagiarism and other forms of professional misconduct were excluded. The final sample consisted of 21 surveys that were included in the systematic review, and 18 in the meta-analysis. A pooled weighted average of 1.97% (N = 7, 95%CI: 0.86–4.45) of scientists admitted to have fabricated, falsified or modified data or results at least once –a serious form of misconduct by any standard– and up to 33.7% admitted other questionable research practices. In surveys asking about the behaviour of colleagues, admission rates were 14.12% (N = 12, 95% CI: 9.91–19.72) for falsification, and up to 72% for other questionable research practices. Meta-regression showed that self reports surveys, surveys using the words “falsification” or “fabrication”, and mailed surveys yielded lower percentages of misconduct. When these factors were controlled for, misconduct was reported more frequently by medical/pharmacological researchers than others. Considering that these surveys ask sensitive questions and have other limitations, it appears likely that this is a conservative estimate of the true prevalence of scientific misconduct.","2009-05-29","2020-06-10 20:55:14","2020-06-10 20:55:14","2020-06-10 20:55:14","e5738","","5","4","","PLOS ONE","How Many Scientists Fabricate and Falsify Research?","","","","","","","en","","","","","PLoS Journals","","","<p>A review and meta-analysis of 18 surveys conducted between 1986-ish and 2005-ish</p> <p>self-reporting: 2% admit falsifying data, ""up to"" 34% admit other QRPs.</p> <p>reporting on others: 14% indicate colleagues have falsified data, ""up to"" 72% for other QRPs.</p> <p> </p>","C:\Users\hmosh\Zotero\storage\ESXFMV6P\Fanelli - 2009 - How Many Scientists Fabricate and Falsify Research.PDF","","","Deception; Health services research; Meta-analysis; Research integrity; Scientific misconduct; Scientists; Social research; Surveys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZ9FIK3Z","report","2019","Christensen, Garret; Wang, Zenan; Paluck, Elizabeth Levy; Swanson, Nicholas; Birke, David J.; Miguel, Edward; Littman, Rebecca","Open Science Practices are on the Rise: The State of Social Science (3S) Survey","","","","","https://osf.io/5rksu","Has there been meaningful movement toward open science practices within the social sciences in recent years? Discussions about changes in practices such as posting data and pre-registering analyses have been marked by controversy—including controversy over the extent to which change has taken place. This study, based on the State of Social Science (3S) Survey, provides the first comprehensive assessment of awareness of, attitudes towards, perceived norms regarding, and adoption of open science practices within a broadly representative sample of scholars from four major social science disciplines: economics, political science, psychology, and sociology. We observe a steep increase in adoption: as of 2017, over 80% of scholars had used at least one such practice, rising from one quarter a decade earlier. Attitudes toward research transparency are on average similar between older and younger scholars, but the paceof change differs by field and methodology. According with theories of normal science and scientific change, the timing of increases in adoption coincides with technological innovations and institutional policies. Patterns are consistent with most scholars underestimating the trend toward open science in their discipline.","2019-10-18","2020-07-27 15:05:01","2020-07-27 15:05:06","2020-07-08 09:52:10","","","","","","","Open Science Practices are on the Rise","","","","","MetaArXiv","","","","preprint","","","DOI.org (Crossref)","","DOI: 10.31222/osf.io/5rksu","<p>N ~ 2800 social scientists (various career stages) from April to August 2018</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQPLAKL7","report","2019","Makel, Matthew C.; Hodges, Jaret; Cook, Bryan G.; Plucker, Jonathan","Questionable and Open Research Practices in Education Research","","","","","https://osf.io/f7srb","Discussions of how to improve research quality are predominant in a number of fields, including education. But how prevalent are the use of problematic practices and the improved practices meant to counter them? This baseline information will be a critical data source as education researchers seek to improve our research practices. In this preregistered study, we replicated and extended previous studies from other fields by asking education researchers about 10 questionable research practices and 5 open research practices. We asked them to estimate the prevalence of the practices in the field, self-report their own use of such practices, and estimate the appropriateness of these behaviors in education research. We made predictions under four umbrella categories: comparison to psychology, geographic location, career stage, and quantitative orientation. Broadly, our results suggest that both questionable and open research practices are part of the typical research practices of many educational researchers. Preregistration, code, and data can be found at https://osf.io/83mwk/.","2019-10-31","2020-07-27 15:07:42","2020-07-27 15:07:42","2019-11-13","","","","","","","","","","","","EdArXiv","","","","preprint","","","","","DOI: 10.35542/osf.io/f7srb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZT6WAKJK","journalArticle","2020","Swiatek, Cécile; McCaffrey, Ciara; Meyer, Thorsten; Svenbro, Anna; Brinken, Helene; Egerton, Frank; Wojciechowska, Anna; Clavel, Karin","LIBER Open Science Training Methods and Practices Across European Research Libraries - Survey Analysis","","","","10.5281/zenodo.3903142","https://zenodo.org/record/3903142#.XvJF5edCT6o","Open science skills training programmes' strategies, methods and impact are at the heart of LIBER's Digital skills for library staff and researchers working group (2018-2020) field of activity. This document is the analysis of a selected panel of case-studies across European Research Libraries, that includes crucial information shared by the respondents about  establishing an Open Science training programme in a higher education and research institution with the library:  the main challenges key messages for success how to get started.  The case reviews and the questionnaire used for this analysis are openly accessible. By reviewing the literature, going through competency frameworks and exploring available learning resources which focused on Open Science and Digital skills, the authors of the analysis produced an Open Science skills visualisation that provides structure and context by categorising the skills. The visualisation is licensed CC BY for reuse, and can be downloaded from Zenodo. The short selection of useful references included in the document is taken from the general library created by the authors. About the authors The advance of Open Science has meant a reinvention of models, ways of working and techniques in a rapidly changing digital world. Open Science skills for both research librarians and researchers are at the center of all evolutions towards openness and digital skills sets and training programmes are needed to support a more open and transparent research life cycle. Cécile Swiatek, Ciara McCaffrey, Thorsten Meyer, Anna Svenbro, Anna Wojciechowska, Karin Clavel, Helene Brinken, Frank Egerton are members of the LIBER's Digital Skills for Library Staff and Researchers Working Group (2018-2020), which aimed to spread a more open culture and to position libraries as key partners in skills training for the complex and forward-thinking concept of Open Science.","2020-06-22","2020-07-27 15:07:39","2020-07-27 15:07:39","2020-06-23 18:12:32","","","","","","","","","","","","","","eng","","","","","Zenodo","","","<p>Dozens of case studies, not summarized. Would require a lot of work to synthesize.</p>","","","","digital skills; librarian; Open Access; open science; training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3S4LP6DJ","journalArticle","2016","Levin, Nadine; Leonelli, Sabina; Weckowska, Dagmara; Castle, David; Dupré, John","How Do Scientists Define Openness? Exploring the Relationship Between Open Science Policies and Research Practice:","Bulletin of Science, Technology & Society","","","10.1177/0270467616668760","https://journals.sagepub.com/doi/10.1177/0270467616668760","This article documents how biomedical researchers in the United Kingdom understand and enact the idea of “openness.” This is of particular interest to researche...","2016-09-30","2020-07-27 15:07:38","2020-07-27 15:07:38","2020-07-03 14:45:55","","","","","","","How Do Scientists Define Openness?","","","","","","","en","","","","Sage CA: Los Angeles, CA","journals.sagepub.com","","","","","","","22 respondents (in-depth interviews); perceptions; UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AQVG4UW","journalArticle","2011","Tenopir, Carol; Allard, Suzie; Douglass, Kimberly; Aydinoglu, Arsev Umur; Wu, Lei; Read, Eleanor; Manoff, Maribeth; Frame, Mike; Neylon, Cameron","Data Sharing by Scientists: Practices and Perceptions","PLoS ONE","","","10.1371/journal.pone.0021101","","","2011","2020-07-27 15:07:37","2020-07-27 15:07:37","","","","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQFKVVVK","journalArticle","2016","Banks, George C.; Rogelberg, Steven G.; Woznyj, Haley M.; Landis, Ronald S.; Rupp, Deborah E.","Editorial: Evidence on Questionable Research Practices: The Good, the Bad, and the Ugly","Journal of Business and Psychology","","0889-3268, 1573-353X","10.1007/s10869-016-9456-7","http://link.springer.com/10.1007/s10869-016-9456-7","","2016-09","2020-07-27 15:38:05","2020-07-27 15:38:05","2020-07-27 15:38:05","323-338","","3","31","","J Bus Psychol","Editorial","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\PWJXS5EP\Banks et al. - 2016 - Editorial Evidence on Questionable Research Pract.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3NWFVKS","journalArticle","2020","Rabelo, André L. A.; Farias, Jéssica E. M.; Sarmet, Maurício M.; Joaquim, Teresa C. R.; Hoersting, Raquel C.; Victorino, Luiz; Modesto, João G. N.; Pilati, Ronaldo","Questionable research practices among Brazilian psychological researchers: Results from a replication study and an international comparison","International Journal of Psychology","","0020-7594, 1464-066X","10.1002/ijop.12632","https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12632","","2020-08","2020-07-27 16:01:04","2020-07-27 16:01:04","2020-07-27 16:01:04","674-683","","4","55","","Int J Psychol","Questionable research practices among Brazilian psychological researchers","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9PFE9YK","journalArticle","2018","Wang, Min Qi; Yan, Alice F.; Katz, Ralph V.","Researcher Requests for Inappropriate Analysis and Reporting: A U.S. Survey of Consulting Biostatisticians","Annals of Internal Medicine","","0003-4819","10.7326/M18-1230","https://www.acpjournals.org/doi/10.7326/M18-1230","","2018-10-09","2020-07-27 16:48:48","2020-07-27 16:48:48","2020-07-27 16:48:48","554-558","","8","169","","Annals of Internal Medicine","Researcher Requests for Inappropriate Analysis and Reporting","","","","","","","","","","","","acpjournals.org (Atypon)","","Publisher: American College of Physicians","","C:\Users\hmosh\Zotero\storage\TQ4GL69V\M18-1230.html; C:\Users\hmosh\Zotero\storage\BHQQ4TH4\Wang et al. - 2018 - Researcher Requests for Inappropriate Analysis and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
