ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
1;PAID;1980;1;1;1;1;PAID (included);0;editorial;1;NA;NA;NA;NA;NA;NA
2;PAID;1980;1;1;3;33;PAID (included);0;theory/conceptual paper;1;NA;NA;NA;NA;NA;NA
3;PAID;1980;1;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
4;PAID;1980;1;1;57;72;PAID (included);1;NA;1;32;quasi-experimental (between-design);quasi-experimental;0;0;0
5;PAID;1980;1;1;73;78;PAID (included);1;NA;1;394;correlational;correlational;0;0;0
6;PAID;1980;1;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
7;PAID;1980;1;1;87;91;PAID (included);1;NA;1;1282;correlational;correlational;0;0;0
8;PAID;1980;1;1;93;94;PAID (included);1;NA;1;246;correlational;correlational;0;0;0
9;PAID;1980;1;1;95;96;PAID (included);1;NA;1;212;correlational;correlational;0;0;0
10;PAID;1980;1;1;97;100;PAID (included);1;NA;1;300;quasi-experimental (mixed-design);quasi-experimental;0;1;0
11;PAID;1980;1;1;101;101;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
12;PAID;1980;1;1;103;110;PAID (included);1;NA;1;40;correlational;correlational;0;0;0
13;PAID;1980;1;1;111;119;PAID (included);1;NA;1;143;correlational;correlational;0;0;0
14;PAID;1980;1;1;121;127;PAID (included);0;theory/conceptual paper;1;NA;NA;NA;NA;NA;NA
15;PAID;1980;1;1;129;133;PAID (included);1;NA;1;20;quasi-experimental (between-design);quasi-experimental;0;1;0
16;PAID;1980;1;1;135;142;PAID (included);1;NA;1;83;quasi-experimental (between-design);quasi-experimental;0;0;0
17;PAID;1980;1;1;143;149;PAID (included);1;NA;1;148;quasi-experimental (between-design);quasi-experimental;0;0;0
17;PAID;1980;1;1;143;149;PAID (included);1;NA;2;50;correlational;correlational;0;0;0
18;PAID;1980;1;1;151;160;PAID (included);0;review;1;NA;NA;NA;NA;NA;NA
19;PAID;1980;1;1;161;163;PAID (included);0;qualitatve study;1;NA;NA;NA;NA;NA;NA
20;PAID;1980;1;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
21;PAID;1980;1;1;172;173;PAID (included);1;NA;1;13;quasi-experimental (between-design);quasi-experimental;0;0;0
22;PAID;1980;1;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
23;PAID;1980;1;1;176;177;PAID (included);1;NA;1;34;experimental (between-design);experimental;0;0;0
24;PAID;1980;1;1;177;180;PAID (included);1;NA;1;100;correlational;correlational;0;0;0
