"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VRP2594K","journalArticle","2017","Agnoli, Franca; Wicherts, Jelte M.; Veldkamp, Coosje L. S.; Albiero, Paolo; Cubelli, Roberto","Questionable research practices among Italian research psychologists","PLoS ONE","","1932-6203(Electronic)","","","A survey in the United States revealed that an alarmingly large percentage of university psychologists admitted having used questionable research practices that can contaminate the research literature with false positive and biased findings. We conducted a replication of this study among Italian research psychologists to investigate whether these findings generalize to other countries. All the original materials were translated into Italian, and members of the Italian Association of Psychology were invited to participate via an online survey. The percentages of Italian psychologists who admitted to having used ten questionable research practices were similar to the results obtained in the United States although there were small but significant differences in self-admission rates for some QRPs. Nearly all researchers (88%) admitted using at least one of the practices, and researchers generally considered a practice possibly defensible if they admitted using it, but Italian researchers were much less likely than US researchers to consider a practice defensible. Participants' estimates of the percentage of researchers who have used these practices were greater than the self-admission rates, and participants estimated that researchers would be unlikely to admit it. In written responses, participants argued that some of these practices are not questionable and they have used some practices because reviewers and journals demand it. The similarity of results obtained in the United States, this study, and a related study conducted in Germany suggest that adoption of these practices is an international phenomenon and is likely due to systemic features of the international research and publication processes. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2017","2020-06-10 21:11:11","2020-06-10 21:11:11","","","","3","12","","","","","","","","","","","","","","","APA PsycNET","","Place: US Publisher: Public Library of Science","<p>Italian sample, replication of John et al. 2012</p>","","","","Experimental Ethics; Experimental Psychologists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25B8G325","journalArticle","2018","Fox, Nicholas; Honeycutt, Nathan; Jussim, Lee","How Many Psychologists Use Questionable Research Practices? Estimating the Population Size of Current QRP Users.","","","","10.31234/osf.io/3v7hx","https://psyarxiv.com/3v7hx/","It is currently unknown how many psychologists are contributing to the current replication crisis by using questionable research practices.  Previous estimates vary considerably, from over 60% to near 10%.  In the current work, the authors produce three estimates of the number of American psychologists who have used questionable research practices in the past 12 months, utilizing direct, indirect, and social network measures of estimation.  This social network method, called the generalized network scale-up method, acts to reduce selection bias by accessing the population of interest via the social networks of participants.  From 613 participants, we estimate up to 24.40% of American psychologists have recently used at least one questionable research practice.  These estimates represent a first step in generating actionable interventions to resolve the current replication crisis and increase public trust in published research.","2018-08-14","2020-06-10 21:05:44","2020-06-10 21:05:57","2020-06-10 21:05:18","","","","","","","How Many Psychologists Use Questionable Research Practices?","","","","","","","","","","","","psyarxiv.com","","Publisher: PsyArXiv","<p>N = 613 American psychologists, focused on use of any QRP in last 12 months by selves and colleagues. Data collected between September 2017 and December 2017.</p> <p>*these questions are good candidates for a follow-up*</p>","C:\Users\hmosh\Zotero\storage\DC29RNSC\Fox [SCORE et al. - 2018 - How Many Psychologists Use Questionable Research P.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WZ9FIK3Z","report","2019","Christensen, Garret; Wang, Zenan; Paluck, Elizabeth Levy; Swanson, Nicholas; Birke, David J.; Miguel, Edward; Littman, Rebecca","Open Science Practices are on the Rise: The State of Social Science (3S) Survey","","","","","https://osf.io/5rksu","Has there been meaningful movement toward open science practices within the social sciences in recent years? Discussions about changes in practices such as posting data and pre-registering analyses have been marked by controversy—including controversy over the extent to which change has taken place. This study, based on the State of Social Science (3S) Survey, provides the first comprehensive assessment of awareness of, attitudes towards, perceived norms regarding, and adoption of open science practices within a broadly representative sample of scholars from four major social science disciplines: economics, political science, psychology, and sociology. We observe a steep increase in adoption: as of 2017, over 80% of scholars had used at least one such practice, rising from one quarter a decade earlier. Attitudes toward research transparency are on average similar between older and younger scholars, but the paceof change differs by field and methodology. According with theories of normal science and scientific change, the timing of increases in adoption coincides with technological innovations and institutional policies. Patterns are consistent with most scholars underestimating the trend toward open science in their discipline.","2019-10-18","2020-07-27 15:05:01","2020-07-27 15:05:06","2020-07-08 09:52:10","","","","","","","Open Science Practices are on the Rise","","","","","MetaArXiv","","","","preprint","","","DOI.org (Crossref)","","DOI: 10.31222/osf.io/5rksu","<p>N ~ 2800 social scientists (various career stages) from April to August 2018</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEX83W8F","journalArticle","2011","Haeussler, Carolin","Information-sharing in academia and the industry: A comparative study","Research Policy","","00487333","10.1016/j.respol.2010.08.007","https://linkinghub.elsevier.com/retrieve/pii/S0048733310002106","","2011-02","2020-07-27 15:07:38","2020-07-27 15:07:38","2020-07-03 09:56:46","105-122","","1","40","","Research Policy","Information-sharing in academia and the industry","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","2196 respondents; bio-science; Germany; information-sharing; UK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NFJVU4AT","journalArticle","2018","Houtkoop, Bobby Lee; Chambers, Chris; Macleod, Malcolm; Bishop, Dorothy V. M.; Nichols, Thomas E.; Wagenmakers, Eric-Jan","Data Sharing in Psychology: A Survey on Barriers and Preconditions","Advances in Methods and Practices in Psychological Science","","2515-2459","10.1177/2515245917751886","https://doi.org/10.1177/2515245917751886","Despite its potential to accelerate academic progress in psychological science, public data sharing remains relatively uncommon. In order to discover the perceived barriers to public data sharing and possible means for lowering them, we conducted a survey, which elicited responses from 600 authors of articles in psychology. The results confirmed that data are shared only infrequently. Perceived barriers included respondents’ belief that sharing is not a common practice in their fields, their preference to share data only upon request, their perception that sharing requires extra work, and their lack of training in sharing data. Our survey suggests that strong encouragement from institutions, journals, and funders will be particularly effective in overcoming these barriers, in combination with educational materials that demonstrate where and how data can be shared effectively.","2018-03-01","2020-07-27 15:07:37","2020-07-27 15:07:37","2019-11-13","70–85","","1","1","","Advances in Methods and Practices in Psychological Science","Data Sharing in Psychology","","","","","","","","","","","","","","","","","","","600 authors of psychology papers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAV9ZMEI","journalArticle","2017","Fecher, Benedikt; Friesike, Sascha; Hebing, Marcel; Linek, Stephanie","A reputation economy: how individual reward considerations trump systemic arguments for open access to data","Palgrave Communications","","2055-1045","10.1057/palcomms.2017.51","https://www.nature.com/articles/palcomms201751","Open access to research data has been described as a driver of innovation and a potential cure for the reproducibility crisis in many academic fields. Against this backdrop, policy makers are increasingly advocating for making research data and supporting material openly available online. Despite its potential to further scientific progress, widespread data sharing in small science is still an ideal practised in moderation. In this article, we explore the question of what drives open access to research data using a survey among 1564 mainly German researchers across all disciplines. We show that, regardless of their disciplinary background, researchers recognize the benefits of open access to research data for both their own research and scientific progress as a whole. Nonetheless, most researchers share their data only selectively. We show that individual reward considerations conflict with widespread data sharing. Based on our results, we present policy implications that are in line with both individual reward considerations and scientific progress.","2017-06-20","2020-07-27 15:07:35","2020-07-27 15:07:35","2020-06-30 09:31:05","1-10","","1","3","","","A reputation economy","","","","","","","en","2017 The Author(s)","","","","www.nature.com","","","","","","","Disciplines, all; Germany; n=1564; Researchers; Survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N62ZJBQC","report","2020","Hardwicke, Tom Elis; Bohn, Manuel; MacDonald, Kyle Earl; Hembacher, Emily; Nuijten, Michele B.; Peloquin, Ben; deMayo, Benjamin; Long, Bria; Yoon, Erica J.; Frank, Michael C.","Analytic reproducibility in articles receiving open data badges at Psychological Science: An observational study","","","","","https://osf.io/h35wt","For any scientific report, repeating the original analyses upon the original data should yield the original outcomes. We evaluated analytic reproducibility in 25 Psychological Science articles awarded open data badges between 2014-2015. Initially, 16 (64%, 95% confidence interval [43,81]) articles contained at least one “major numerical discrepancy” (&gt;10% difference) prompting us to request input from original authors. Ultimately, target values were reproducible without author involvement for 9 (36% [20,59]) articles; reproducible with author involvement for 6 (24% [8,47]) articles; not fully reproducible with no substantive author response for 3 (12% [0,35]) articles; and not fully reproducible despite author involvement for 7 (28% [12,51]) articles. Overall, 37 major numerical discrepancies remained out of 789 checked values (5% [3,6]), but original conclusions did not appear affected. Non-reproducibility was primarily caused by unclear reporting of analytic procedures. These results highlight that open data alone is not sufficient to ensure analytic reproducibility.","2020-07-13","2020-07-27 15:10:06","2020-07-27 15:10:06","2020-07-27 15:10:06","","","","","","","Analytic reproducibility in articles receiving open data badges at Psychological Science","","","","","MetaArXiv","","","","preprint","","","DOI.org (Crossref)","","DOI: 10.31222/osf.io/h35wt","<p>Used subsample of Kidwell et al.: 25 papers published in Psych Science with data badges between 2014-2015</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZ5MD9Y2","journalArticle","2019","Janke, Stefan; Daumiller, Martin; Rudert, Selma Carolin","Dark Pathways to Achievement in Science: Researchers’ Achievement Goals Predict Engagement in Questionable Research Practices","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550618790227","http://journals.sagepub.com/doi/10.1177/1948550618790227","Questionable research practices (QRPs) are a strongly debated topic in the scientific community. Hypotheses about the relationship between individual differences and QRPs are plentiful but have rarely been empirically tested. Here, we investigate whether researchers’ personal motivation (expressed by achievement goals) is associated with self-reported engagement in QRPs within a sample of 217 psychology researchers. Appearance approach goals (striving for skill demonstration) positively predicted engagement in QRPs, while learning approach goals (striving for skill development) were a negative predictor. These effects remained stable when also considering Machiavellianism, narcissism, and psychopathy in a latent multiple regression model. Additional moderation analyses revealed that the more researchers favored publishing over scientific rigor, the stronger the association between appearance approach goals and engagement in QRPs. The findings deliver first insights into the nature of the relationship between personal motivation and scientific malpractice.","2019-08","2020-07-27 15:58:41","2020-07-27 15:58:41","2020-07-27 15:58:41","783-791","","6","10","","Social Psychological and Personality Science","Dark Pathways to Achievement in Science","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\IZBWQAGF\Janke et al. - 2019 - Dark Pathways to Achievement in Science Researche.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZPF5B6M2","journalArticle","2015","Rajah-Kanagasabai, Camilla J.; Roberts, Lynne D.","Predicting self-reported research misconduct and questionable research practices in university students using an augmented Theory of Planned Behavior","Frontiers in Psychology","","1664-1078","10.3389/fpsyg.2015.00535","http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00535/abstract","","2015-04-30","2020-07-27 16:08:14","2020-07-27 16:08:14","2020-07-27 16:08:14","","","","6","","Front. Psychol.","","","","","","","","","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\JVW6YV6W\Rajah-Kanagasabai and Roberts - 2015 - Predicting self-reported research misconduct and q.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32CYQNUS","journalArticle","2010","Bedeian, Arthur G.; Taylor, Shannon G.; Miller, Alan N.","Management Science on the Credibility Bubble: Cardinal Sins and Various Misdemeanors","Academy of Management Learning & Education","","1537-260X","10.5465/amle.9.4.zqr715","https://journals.aom.org/doi/abs/10.5465/amle.9.4.zqr715","This research-based essay presents survey results—collected from faculty in 104 PhD-granting management departments of AACSB-accredited business schools in the United States—regarding 11 different types of questionable research conduct, including data fabrication, data falsification, plagiarism, inappropriately accepting or assigning authorship credit, and publishing the same data or results in two or more publications. Findings suggest that instances of research misconduct covering a broad array of behaviors are not unknown to survey respondents.","2010-12-01","2020-07-27 20:29:49","2020-07-27 20:29:49","2020-07-27 20:29:40","715-725","","4","9","","AMLE","Management Science on the Credibility Bubble","","","","","","","","","","","","journals.aom.org (Atypon)","","Publisher: Academy of Management","","C:\Users\hmosh\Zotero\storage\S6KLQJAJ\amle.9.4.html; C:\Users\hmosh\Zotero\storage\8ECAMWYU\Bedeian et al. - 2010 - Management Science on the Credibility Bubble Card.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
