Key,Item Type,Publication Year,Author,Title,Area,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
QQK6J7ET,journalArticle,2016,"Phelps, Mitch; Coss, Chris; Wang, Hongyan; Cook, Matthew; Reproducibility Project: Cancer Biology",Registered report: Coding-independent regulation of the tumor suppressor PTEN by competing endogenous mRNAs,Biology,eLife,,2050-084X,10.7554/eLife.12470,https://elifesciences.org/articles/12470,"The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (<xref ref-type=""bibr"" rid=""bib8"">Errington et al., 2014</xref>). This Registered Report describes the proposed replication plan of key experiments from “Coding-Independent Regulation of the Tumor Suppressor PTEN by Competing Endogenous 'mRNAs' by Tay and colleagues, published in Cell in 2011 (<xref ref-type=""bibr"" rid=""bib23"">Tay et al., 2011</xref>). The experiments to be replicated are those reported in Figures 3C, 3D, 3G, 3H, 5A and 5B, and in Supplemental Figures 3A and B. Tay and colleagues proposed a new regulatory mechanism based on competing endogenous RNAs (ceRNAs), which regulate target genes by competitive binding of shared microRNAs. They test their model by identifying and confirming ceRNAs that target PTEN. In Figure 3A and B, they report that perturbing expression of putative PTEN ceRNAs affects expression of PTEN. This effect is dependent on functional microRNA machinery (Figure 3G and H), and affects the pathway downstream of PTEN itself (Figures 5A and B). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.",3/1/2016,10/18/2020 17:37,10/18/2020 17:37,12/18/2019 17:22,e12470,,,5,,,Registered report,,,,,,,en,,,,,DOI.org (Crossref),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBE6CHU3,journalArticle,2016,"Richarson, Adam D; Scott, David A; Zagnitko, Olga; Aza-Blanc, Pedro; Chang, Chih-Cheng; Russler-Germain, David A; Reproducibility Project: Cancer Biology",Registered report: IDH mutation impairs histone demethylation and results in a block to cell differentiation,Biology,eLife,,2050-084X,10.7554/eLife.10860,https://elifesciences.org/articles/10860,"The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from “IDH mutation impairs histone demethylation and results in a block to cell differentiation” by Lu and colleagues, published in Nature in 2012 (Lu et al., 2012). The experiments that will be replicated are those reported in Figures 1B, 2A, 2B, 2D and 4D. Lu and colleagues demonstrated that expression of mutant forms of IDH1 or IDH2 caused global increases in histone methylation and increased levels of 2 hydroxyglutarate (Figure 1B). This was correlated with a block in differentiation (Figures 2A, B and D). This effect appeared to be mediated by the histone demethylase KDM4C (Figure 4D). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Scienceand Science Exchange, and the results of the replications will be published by eLife.",3/14/2016,10/18/2020 17:37,10/18/2020 17:37,12/18/2019 17:23,e10860,,,5,,,Registered report,,,,,,,en,,,,,DOI.org (Crossref),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4E5IC4Z,journalArticle,2016,"Vanden Heuvel, John P; Bullenkamp, Jessica; Reproducibility Project: Cancer Biology",Registered report: Systematic identification of genomic markers of drug sensitivity in cancer cells,Biology,eLife,,2050-084X,10/gf9h49,http://elifesciences.org/lookup/doi/10.7554/eLife.13620,,6/23/2016,10/18/2020 17:37,10/18/2020 17:37,5/22/2017 18:07,,,,5,,,Registered report,,,,,,,en,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QI33QG7V,journalArticle,2017,"Emmrich, Julius V.; Neher, Jonas J.; Boehm-Sturm, Philipp; Endres, Matthias; Dirnagl, Ulrich; Harms, Christoph",Stage 1 Registered Report: Effect of deficient phagocytosis on neuronal survival and neurological outcome after temporary middle cerebral artery occlusion (tMCAo),Biology,F1000Research,,2046-1402,10/ggb8bm,https://f1000research.com/articles/6-1827/v2,,11/14/2017,10/18/2020 17:37,10/18/2020 17:37,4/4/2018 18:06,1827,,,6,,,Stage 1 Registered Report,,,,,,,en,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKRJ3X2J,journalArticle,2018,"Newbury, Dianne F.; Simpson, Nuala H.; Thompson, Paul A.; Bishop, Dorothy V. M.",Stage 1 Registered Report: Variation in neurodevelopmental outcomes in children with sex chromosome trisomies: protocol for a test of the double hit hypothesis,Psychology,Wellcome Open Research,,2398-502X,10/ggb79k,https://wellcomeopenresearch.org/articles/3-10/v1,,2/12/2018,10/18/2020 17:37,10/18/2020 17:37,3/7/2018 15:44,10,,,3,,,Stage 1 Registered Report,,,,,,,en,,,,,CrossRef,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4RUH77R,journalArticle,2019,Emma K. Ward & Sabine Hunnius,8m_ET_Frogs,Psychology,,,,10.17605/OSF.IO/F4MHC,https://osf.io/f4mhc/,Hosted on the Open Science Framework,2/19/2019,10/18/2020 17:37,10/18/2020 17:37,2/13/2020 17:54,,,,,,,,,,,,,,en,,,,,osf.io,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISHEGDQ6,journalArticle,2020,"Schroeder, Philipp A.; Artemenko, Christina; Cipora, Krzysztof; Svaldi, Jennifer",Regional specificity of cathodal transcranial direct current stimulation (tDCS) effects on spatial-numerical associations: Comparison of four stimulation sites,Psychology,Journal of Neuroscience Research,,1097-4547,10.1002/jnr.24559,https://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.24559,"Based on a theory of impulsive and reflective human behavior, we test the effects of transcranial direct current stimulation (tDCS) targeting either prefrontal or parietal cortex in either hemisphere. In a confirmatory registered report, cathodal tDCS is administered to conceptually reproduce tDCS modulations of implicit spatial-numerical associations, numerical distance effects, and response inhibition. Those cognitive operations are hypothesized to draw on left prefrontal, parietal, and right prefrontal activations, respectively, thereby susceptible to inhibitory, cathodal tDCS across those regions. Vice versa, the mutual regional and behavioral specificity of tDCS effects on these behavioral indices is examined and expected to produce double dissociations. In a mixed within-subjects (baseline, during tDCS, post-tDCS) and between-subjects (target electrode: left/right prefrontal cortex/posterior parietal cortex, or sham tDCS) design, we collect (a) confirmatory data on the robustness of cathodal tDCS effects on three behavioral effects and (b) differential data on the specificity of regional targets in male and female human participants. Results will provide crucial tests of theories of cortical organization implied by implicit associations and explicit regulation, which can direct future brain stimulation studies.",2020,10/18/2020 17:37,10/18/2020 17:37,3/20/2020 14:20,655-667,,4,98,,,Regional specificity of cathodal transcranial direct current stimulation (tDCS) effects on spatial-numerical associations,,,,,,,en,"© 2019 The Authors. Journal of Neuroscience Research published by Wiley Periodicals, Inc.",,,,Wiley Online Library,,00000  _eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/jnr.24559,,,,,working memory; prefrontal cortex; cathodal tDCS; implicit spatial-numerical associations; numerical distance effect; response inhibition; transcranial direct current stimulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2PXMC8W,journalArticle,2016,"Sharma, Vidhu; Young, Lisa; Cavadas, Miguel; Owen, Kate; Reproducibility Project: Cancer Biology",Registered report: COT drives resistance to RAF inhibition through MAP kinase pathway reactivation,Biology,eLife,,2050-084X,10.7554/eLife.11414,https://elifesciences.org/articles/11414,"The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (<xref ref-type=""bibr"" rid=""bib4"">Errington et al., 2014</xref>). This Registered Report describes the proposed replication plan of key experiments from “COT drives resistance to RAF inhibition through MAPK pathway reactivation” by Johannessen and colleagues, published in Nature in 2010 (<xref ref-type=""bibr"" rid=""bib10"">Johannessen et al., 2010</xref>). The key experiments to be replicated are those reported in Figures 3B, 3D-E, 3I, and 4E-F. In Figures 3B, D-E, RPMI-7951 and OUMS023 cells were reported to exhibit robust ERK/MEK activity concomitant with reduced growth sensitivity in the presence of the BRAF inhibitor PLX4720. MAP3K8 (COT/TPL2) directly regulated MEK/ERK phosphorylation, as the treatment of RPMI-7951 cells with a MAP3K8 kinase inhibitor resulted in a dose-dependent suppression of MEK/ERK activity (Figure 3I). In contrast, MAP3K8-deficient A375 cells remained sensitive to BRAF inhibition, exhibiting reduced growth and MEK/ERK activity during inhibitor treatment. To determine if RAF and MEK inhibitors together can overcome single-agent resistance, MAP3K8-expressing A375 cells treated with PLX4720 along with MEK inhibitors significantly inhibited both cell viability and ERK activation compared to treatment with PLX4720 alone, as reported in Figures 4E-F. The Reproducibility Project: Cancer Biology is collaboration between the Center for Open Science and Science Exchange and the results of the replications will be published in eLife.",3/21/2016,10/18/2020 17:37,10/18/2020 17:37,12/18/2019 17:24,e11414,,,5,,,Registered report,,,,,,,en,,,,,DOI.org (Crossref),,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M88GTTMJ,report,2020,"Klein, Richard Anthony; Ropovik, Ivan; Butler, Emily; Wagemans, Fieke Maria Antoinet; IJzerman, Hans",Stage 1 RR: Social Thermoregulation in Humans: Co-Regulation of Body Temperature through Facial Expressions?,Psychology,,,,,https://osf.io/tq5sc,"We propose the first Registered Report examining social co-thermoregulation in humans, a widely studied phenomenon in ecology whereby animals help regulate body heat through conspecifics (for example, by huddling). Participants’ peripheral body temperature will be measured continuously while they view photos of their romantic partner, or strangers, making sad, neutral, angry, and happy facial expressions. If the proposed social thermoregulatory process operates as a function of partner emotional state, we predict that participants’ peripheral body temperature will increase in response to a sad partner and that these temperature responses will be strongest for high-quality (communal) relationships. For responses to angry and happy faces, we do not yet have strong priors and will analyze these with exploratory methods. We will analyze these data with linear mixed models in the lme4 R package. The study will have 95% power to detect the primary effects of interest and use a precise measure of peripheral body temperature. Results supporting such a temperature response would provide robust evidence for a social role in temperature regulation; a precisely estimated null effect would pose a strong challenge to our current understanding of social thermoregulation in humans and/or the paradigms used for studying it.",1/30/2020,10/18/2020 17:37,10/18/2020 17:37,2/13/2020 17:54,,,,,,,Stage 1 RR,,,,,PsyArXiv,,,,preprint,,,DOI.org (Crossref),,00000  DOI: 10.31234/osf.io/tq5sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKC2PRM7,journalArticle,2014,"van â€™ t Veer, Anna E.; Stel, MariÃ«lle; van Beest, Ilja; Gallucci, Marcello",Registered report: measuring unconscious deception detection by skin temperature,Psychology,Frontiers in Psychology,,1664-1078,10/f54t47,http://journal.frontiersin.org/article/10.3389/fpsyg.2014.00442/abstract,,5/23/2014,10/18/2020 17:37,10/18/2020 17:37,8/22/2017 14:46,,,,5,,,Registered report,,,,,,,,,,,,CrossRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
