"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MJZR98VA","journalArticle","2014","Lynott, Dermot; Corker, Katherine S.; Wortman, Jessica; Connell, Louise; Donnellan, M. Brent; Lucas, Richard E.; O’Brien, Kerry","Replication of “Experiencing Physical Warmth Promotes Interpersonal Warmth” by Williams and Bargh (2008)","Social Psychology","","1864-9335, 2151-2590","10/f56fbs","http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000187","","2014-01-01","2020-10-06 17:39:46","2020-10-06 17:39:46","2018-04-10 20:39:16","216-222","","3","45","","","","","","","","","","en","","","","","CrossRef","","00050","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (<a href=""https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192"">https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192</a>)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2ZDD6EK","journalArticle","2014","Gibson, Carolyn E.; Losee, Joy; Vitiello, Christine","A Replication Attempt of Stereotype Susceptibility (Shih, Pittinsky, & Ambady, 1999): Identity Salience and Shifts in Quantitative Performance","Social Psychology","","1864-9335, 2151-2590","10/ggb77v","http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000184","","2014-01-01","2020-10-06 17:39:46","2020-10-06 17:39:46","2018-04-10 20:38:39","194-198","","3","45","","","A Replication Attempt of Stereotype Susceptibility (Shih, Pittinsky, & Ambady, 1999)","","","","","","","en","","","","","CrossRef","","00032","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (<a href=""https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192"">https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192</a>)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5S4AV4CJ","journalArticle","2014","Johnson, David J.; Cheung, Felix; Donnellan, M. Brent","Does Cleanliness Influence Moral Judgments?: A Direct Replication of Schnall, Benton, and Harvey (2008)","Social Psychology","","1864-9335, 2151-2590","10/f56d6m","http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000186","","2014-01-01","2020-10-06 17:39:46","2020-10-06 17:39:46","2018-04-10 20:38:53","209-215","","3","45","","","Does Cleanliness Influence Moral Judgments?","","","","","","","en","","","","","CrossRef","","00070","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (<a href=""https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192"">https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192</a>)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2T6T66W9","journalArticle","2017","Campbell, Lorne; Balzarini, Rhonda N.; Kohut, Taylor; Dobson, Kiersten; Hahn, Christian M.; Moroz, Sarah E.; Stanton, Sarah C.E.","Self-esteem, relationship threat, and dependency regulation: Independent replication of Murray, Rose, Bellavia, Holmes, and Kusche (2002) Study 3","Journal of Research in Personality","","00926566","10/gc2sbz","http://linkinghub.elsevier.com/retrieve/pii/S0092656617300363","","2017-04-07","2020-10-06 17:39:45","2020-10-06 17:39:45","2018-04-04 19:56:29","5-9","","","72","","","Self-esteem, relationship threat, and dependency regulation","","","","","","","en","","","","","CrossRef","","00000","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Replication Report (https://www.sciencedirect.com/science/article/pii/S0092656617301113#b9005)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFIN2NC4","journalArticle","2017","Soliman, Monica; Peetz, Johanna; Davydenko, Mariya","The Impact of Immersive Technology on Nature Relatedness and Pro-Environmental Behavior","Journal of Media Psychology","","1864-1105, 2151-2388","10/gfsp7j","http://econtent.hogrefe.com/doi/10.1027/1864-1105/a000213","","2017-03-21","2020-10-06 17:39:45","2020-10-06 17:39:45","2017-03-25 23:14:26","8-17","","1","29","","","","","","","","","","en","","","","","CrossRef","","","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (https://econtent.hogrefe.com/doi/abs/10.1027/1864-1105/a000212)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57JXHGDE","journalArticle","2017","Steinemann, Sharon T.; Iten, Glena H.; Opwis, Klaus; Forde, Seamus F.; Frasseck, Lars; Mekler, Elisa D.","Interactive Narratives Affecting Social Change: A Closer Look at the Relationship Between Interactivity and Prosocial Behavior","Journal of Media Psychology","","1864-1105, 2151-2388","10/ggb7zm","http://econtent.hogrefe.com/doi/10.1027/1864-1105/a000211","","2017-03-21","2020-10-06 17:39:45","2020-10-06 17:39:45","2017-03-25 23:14:49","54-66","","1","29","","","Interactive Narratives Affecting Social Change","","","","","","","en","","","","","CrossRef","","","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (https://econtent.hogrefe.com/doi/abs/10.1027/1864-1105/a000212)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUBHBC44","journalArticle","2017","van der Zee, Tim; Admiraal, Wilfried; Paas, Fred; Saab, Nadira; Giesbers, Bas","Effects of Subtitles, Complexity, and Language Proficiency on Learning From Online Education Videos","Journal of Media Psychology","","1864-1105, 2151-2388","10/gfrkm8","http://econtent.hogrefe.com/doi/10.1027/1864-1105/a000208","","2017-03-21","2020-10-06 17:39:45","2020-10-06 17:39:45","2017-03-25 23:14:32","18-30","","1","29","","","","","","","","","","en","","","","","CrossRef","","","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (https://econtent.hogrefe.com/doi/abs/10.1027/1864-1105/a000212)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNB4B2E5","journalArticle","2017","Ivory, Adrienne Holz; Ivory, James D; Lanier, Madison","Video Game Use as Risk Exposure, Protective Incapacitation, or Inconsequential Activity Among University Students: Comparing Approaches in a Unique Risk Environment","Journal of Media Psychology","","1864-1105, 2151-2388","10/ggb7zh","http://econtent.hogrefe.com/doi/10.1027/1864-1105/a000210","","2017-03-21","2020-10-06 17:39:45","2020-10-06 17:39:45","2017-03-25 23:14:44","42-53","","1","29","","","Video Game Use as Risk Exposure, Protective Incapacitation, or Inconsequential Activity Among University Students","","","","","","","en","","","","","CrossRef","","","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (https://econtent.hogrefe.com/doi/abs/10.1027/1864-1105/a000212)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WCFFXXHV","journalArticle","2017","Wessler, Janet; Hansen, Jochim","The effect of psychological distance on automatic goal contagion","Comprehensive Results in Social Psychology","","2374-3603, 2374-3611","10/ggb72p","https://www.tandfonline.com/doi/full/10.1080/23743603.2017.1288877","","2017-03-21","2020-10-06 17:39:45","2020-10-06 17:39:45","2017-05-04 11:44:04","1-35","","","","","","","","","","","","","en","","","","","CrossRef","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"359S4NU3","journalArticle","2014","Wesselmann, Eric D.; Williams, Kipling D.; Pryor, John B.; Eichler, Fredrick A.; Gill, Devin M.; Hogue, John D.","Revisiting Schachter’s Research on Rejection, Deviance, and Communication (1951)","Social Psychology","","1864-9335, 2151-2590","10/f56dz5","http://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000180","","2014-01-01","2020-10-06 17:39:45","2020-10-06 17:39:45","2018-04-10 20:40:01","164-169","","3","45","","","","","","","","","","en","","","","","CrossRef","","00013","<p>Not labeled as a Registered Report in the article, but this editorial appearing in the same issue states this is a Registered Report (<a href=""https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192"">https://econtent.hogrefe.com/doi/abs/10.1027/1864-9335/a000192</a>)</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
