"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A7U6R3E6","journalArticle","2019","Landkroon, Elze; Mertens, Gaëtan; Sevenster, Dieuwke; Dibbets, Pauline; Engelhard, Iris M.","Renewal of conditioned fear responses using a film clip as the aversive unconditioned stimulus","Journal of Behavior Therapy and Experimental Psychiatry","","0005-7916","10/gf5hcm","http://www.sciencedirect.com/science/article/pii/S0005791618302702","Background and objectives Pavlovian fear conditioning paradigms are valuable to investigate fear learning and the return of extinguished fear in the lab. However, their validity is limited, because the aversive stimuli (e.g., electric shocks) typically lack the modalities and complexity of real-world aversive experiences. To overcome this limitation, we examined fear acquisition, extinction and contextual renewal using an audiovisual unconditioned stimulus (US). Method On day 1, 50 healthy participants completed an acquisition phase in a specific context (i.e., desk or bookcase, ‘context A’). Pictures of colored lamps served as conditioned stimuli and an aversive film clip was used as US. On day 2, extinction took place in the same context (‘context A’) or in a different context (‘context B’). Afterwards, renewal was tested in the acquisition context (AAA vs. ABA design). Results As hypothesized, fear acquisition and extinction, as measured by US expectancy ratings, fear potentiated startle (FPS), and skin conductance responses (SCRs), were successful. Most importantly, conditioned responding was renewed on all measures in the ABA condition, but not in the AAA condition. Differential renewal (i.e., larger renewal for CS + than for CS-) was only observed for US expectancy ratings. Limitations The return of conditioned responses was non-differential for FPS and SCR. Conclusions The current set-up enables investigation of fear renewal using an audiovisual US. Future studies can utilize this paradigm to investigate interventions that aim to reduce fear renewal by modifying the US memory, such as Eye Movement Desensitization and Reprocessing and imagery rescripting.","2019-12-01","2020-10-18 17:37:15","2020-10-18 17:37:15","2019-06-26 19:37:15","101493","","","65","","Journal of Behavior Therapy and Experimental Psychiatry","","","","","","","","","","","","","ScienceDirect","","https://osf.io/pzu7s/","","","","","Extinction; Return of fear; Fear conditioning; Aversive film clip; Renewal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K22GIPDP","journalArticle","2019","Lavan, Nadine; Knight, Sarah; Hazan, Valerie; McGettigan, Carolyn","The effects of high variability training on voice identity learning","Cognition","","0010-0277","10/ggb84k","http://www.sciencedirect.com/science/article/pii/S0010027719301994","High variability training has been shown to benefit the learning of new face identities. In three experiments, we investigated whether this is also the case for voice identity learning. In Experiment 1a, we contrasted high variability training sets – which included stimuli extracted from a number of different recording sessions, speaking environments and speaking styles – with low variability stimulus sets that only included a single speaking style (read speech) extracted from one recording session (see Ritchie & Burton, 2017 for faces). Listeners were tested on an old/new recognition task using read sentences (i.e. test materials fully overlapped with the low variability training stimuli) and we found a high variability disadvantage. In Experiment 1b, listeners were trained in a similar way, however, now there was no overlap in speaking style or recording session between training sets and test stimuli. Here, we found a high variability advantage. In Experiment 2, variability was manipulated in terms of the number of unique items as opposed to number of unique speaking styles. Here, we contrasted the high variability training sets used in Experiment 1a with low variability training sets that included the same breadth of styles, but fewer unique items; instead, individual items were repeated (see Murphy, Ipser, Gaigg, & Cook, 2015 for faces). We found only weak evidence for a high variability advantage, which could be explained by stimulus-specific effects. We propose that high variability advantages may be particularly pronounced when listeners are required to generalise from trained stimuli to different-sounding, previously unheard stimuli. We discuss these findings in the context of mechanisms thought to underpin advantages for high variability training.","2019-12-01","2020-10-18 17:37:15","2020-10-18 17:37:15","2019-08-27 15:35:36","104026","","","193","","Cognition","","","","","","","","","","","","","ScienceDirect","","00000  https://osf.io/7xvjw","","","","","High variability training; Person perception; Voice identity; Voice learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QG5ICHTQ","journalArticle","2019","Hendriks, Anouk E. M.; Havermans, Remco C.; Nederkoorn, Chantal; Bast, Aalt","Exploring the mechanism of within-meal variety and sensory-specific satiation","Food Quality and Preference","","0950-3293","10/ggb8wf","http://www.sciencedirect.com/science/article/pii/S0950329319304070","Food variety has been shown to enhance consumption, and it has repeatedly been proposed that this variety effect might operate by delaying the development of sensory-specific satiation (SSS; a relative decrease in pleasantness of a specific food as it is consumed). This study aimed to advance our understanding of the presumed relationship between SSS and food variety. Participants (N = 30) received two meals on two separate days, one consisting of only two food items (A and B; low variety), and the other comprising six foods (A, B, C, D, E, and F; high variety). Each meal comprised signalled exposure (look-smell-taste-swallow) to a total of 10 bite-size portions: 5 portions of foods A and B in the low variety condition, and 5 portions of A and a single portion of foods B, C, D, E, and F in the high variety condition. Participants tasted 8 food items before and after each meal (i.e., the 6 foods included in the meals plus 2 more unconsumed foods G and H). It was hypothesized that SSS for food A would develop irrespective of overall meal variety, but that SSS for food B would be smaller in the high variety session. The results of this study were in accordance with this hypothesis: strong SSS was present for food A in both meal varieties. For food B, it was present in the low variety meal, but absent in the high variety meal. This indicates that meal variety does not necessarily affect SSS. SSS is strictly determined by degree and timing of sensory exposure to a food. Exposure time should therefore be targeted when developing strategies to influence the development of sensory-specific satiation, which in its turn can affect food intake.","2019-12-01","2020-10-18 17:37:15","2020-10-18 17:37:15","2019-08-27 15:22:09","103740","","","78","","Food Quality and Preference","","","","","","","","","","","","","ScienceDirect","","00000  https://osf.io/gdr6n","","","","","Satiation; Liking; Sensory-specific satiety; Variety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39PD3ZSF","journalArticle","2019","Baadjou, Vera AE.; Lee, Hopin; Smeets, Rob JEM.; Kamper, Steven J.","How much of the effect of exercise and advice for subacute low back pain is mediated by depressive symptoms?","Musculoskeletal Science and Practice","","2468-7812","10.1016/j.msksp.2019.102055","http://www.sciencedirect.com/science/article/pii/S2468781219301912","Background Exercise and advice can reduce pain and disability in patients with subacute low back pain. However, the mechanisms by which this combined intervention works are unclear. Our objective was to estimate how much of the effect of a physiotherapist-directed exercise and advice intervention on pain and disability is mediated via changes in depressive symptoms. Methods Causal mediation analysis of a randomized controlled trial. We measured our hypothesized mediator - depressive symptoms (Depression, Anxiety, Stress Scale-21) at 6 weeks, and the outcomes - pain (numerical rating scale) and disability (Roland Morris Disability Questionnaire) at 3 months, estimating the average causal mediation effect (ACME), average direct effect (ADE), and total effect. We pre-specified a causal model to identify potential confounders of the mediator-outcome effect and conducted sensitivity analyses to assess the robustness of the ACME under varying levels of unknown confounding. Results Data from 240 patients were analyzed (average age 50.5 (SD 15.6) years, 52% male, median depressive symptoms score 4). The effect of exercise combined with advice was not mediated via depressive symptoms: ACME on pain (0.05, 95%CI -0.24 to 0.15), ACME on disability (−0.10, 95%CI -0.59 to 0.38). However depressive symptoms were associated with pain (regression coefficient 0.06; SE 0.03)) and disability (regression coefficient 0.17; SE 0.05).) Conclusions Depressive symptoms did not mediate the effect of exercise and/or advice in this sample. However, depressive symptoms were associated with pain and disability.","2019-12-01","2020-10-18 17:37:14","2020-10-18 17:37:14","2019-12-23 16:07:42","102055","","","44","","Musculoskeletal Science and Practice","","","","","","","","en","","","","","ScienceDirect","","00000  https://osf.io/8uk7z/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7NPIUN45","journalArticle","2019","Rosenfield, David; Smits, Jasper A. J.; Hofmann, Stefan G.; Mataix-Cols, David; de la Cruz, Lorena Fernández; Andersson, Erik; Rück, Christian; Monzani, Benedetta; Pérez-Vigil, Ana; Frumento, Paolo; Davis, Michael; de Kleine, Rianne A.; Difede, JoAnn; Dunlop, Boadie W.; Farrell, Lara J.; Geller, Daniel; Gerardi, Maryrose; Guastella, Adam J.; Hendriks, Gert-Jan; Kushner, Matt G.; Lee, Francis S.; Lenze, Eric J.; Levinson, Cheri A.; McConnell, Harry; Plag, Jens; Pollack, Mark H.; Ressler, Kerry J.; Rodebaugh, Thomas L.; Rothbaum, Barbara O.; Storch, Eric A.; Ströhle, Andreas; Tart, Candyce D.; Tolin, David F.; van Minnen, Agnes; Waters, Allison M.; Weems, Carl F.; Wilhelm, Sabine; Wyka, Katarzyna; Altemus, Margaret; Anderson, Page; Cukor, Judith; Finck, Claudia; Geffken, Gary R.; Golfels, Fabian; Goodman, Wayne K.; Gutner, Cassidy A.; Heyman, Isobel; Jovanovic, Tanja; Lewin, Adam B.; McNamara, Joseph P.; Murphy, Tanya K.; Norrholm, Seth; Thuras, Paul; Turner, Cynthia; Otto, Michael W.","Changes in Dosing and Dose Timing of D-Cycloserine Explain Its Apparent Declining Efficacy for Augmenting Exposure Therapy for Anxiety-related Disorders: An Individual Participant-data Meta-analysis","Journal of Anxiety Disorders","","0887-6185","10.1016/j.janxdis.2019.102149","http://www.sciencedirect.com/science/article/pii/S0887618519301318","The apparent efficacy of d-cycloserine (DCS) for enhancing exposure treatment for anxiety disorders appears to have declined over the past 14 years. We examined whether variations in how DCS has been administered can account for this “declining effect”. We also investigated the association between DCS administration characteristics and treatment outcome to find optimal dosing parameters. We conducted a secondary analysis of individual participant data obtained from 1047 participants in 21 studies testing the efficacy of DCS-augmented exposure treatments. Different outcome measures in different studies were harmonized to a 0-100 scale. Intent-to-treat analyses showed that, in participants randomized to DCS augmentation (n = 523), fewer DCS doses, later timing of DCS dose, and lower baseline severity appear to account for this decline effect. More DCS doses were related to better outcomes, but this advantage leveled-off at nine doses. Administering DCS more than 60 minutes before exposures was also related to better outcomes. These predictors were not significant in the placebo arm (n = 521). Results suggested that optimal DCS administration could increase pre-to-follow-up DCS effect size by 50%. In conclusion, the apparent declining effectiveness of DCS over time may be accounted for by how it has been administered. Optimal DCS administration may substantially improve outcomes. Registration: The analysis plan for this manuscript was registered on Open Science Framework (https://osf.io/c39p8/).","2019-12-01","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-01-28 19:21:36","102149","","","68","","Journal of Anxiety Disorders","Changes in Dosing and Dose Timing of D-Cycloserine Explain Its Apparent Declining Efficacy for Augmenting Exposure Therapy for Anxiety-related Disorders","","","","","","","en","","","","","ScienceDirect","","https://osf.io/c39p8","","","","","exposure; augmentation; d-cycloserine; decline effect; dosing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS89HVPB","journalArticle","2019","Raffington, Laurel; Czamara, Darina; Mohn, Johannes Julius; Falck, Johannes; Schmoll, Vanessa; Heim, Christine; Binder, Elisabeth B.; Shing, Yee Lee","Stable longitudinal associations of family income with children’s hippocampal volume and memory persist after controlling for polygenic scores of educational attainment","Developmental Cognitive Neuroscience","","1878-9293","10.1016/j.dcn.2019.100720","http://www.sciencedirect.com/science/article/pii/S187892931930307X","Despite common notion that the correlation of socioeconomic status with child cognitive performance may be driven by both environmentally– and genetically–mediated transactional pathways, there is a lack of longitudinal and genetically informed research that examines these postulated associations. The present study addresses whether family income predicts associative memory growth and hippocampal development in middle childhood and tests whether these associations persist when controlling for DNA–based polygenic scores of educational attainment. Participants were 142 6–to–7–year–old children, of which 127 returned when they were 8–to–9 years old. Longitudinal analyses indicated that the association of family income with children’s memory performance and hippocampal volume remained stable over this age range and did not predict change. On average, children from economically disadvantaged background showed lower memory performance and had a smaller hippocampal volume. There was no evidence to suggest that differences in memory performance were mediated by differences in hippocampal volume. Further exploratory results suggested that the relationship of income with hippocampal volume and memory in middle childhood is not primarily driven by genetic variance captured by polygenic scores of educational attainment, despite the fact that polygenic scores significantly predicted family income.","2019-12-01","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-02-14 20:49:27","100720","","","40","","Developmental Cognitive Neuroscience","","","","","","","","en","","","","","ScienceDirect","","00001","","","","","Genetics; Memory; Hippocampus; Longitudinal; Childhood; Socioeconomic status","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJX92XIG","journalArticle","2019","Szinay, Dorothy; Tombor, Ildiko; Garnett, Claire; Boyt, Neil; West, Robert","Associations between self-esteem and smoking and excessive alcohol consumption in the UK: A cross-sectional study using the BBC UK Lab database","Addictive Behaviors Reports","","2352-8532","10.1016/j.abrep.2019.100229","http://www.sciencedirect.com/science/article/pii/S2352853219301439","Introduction There is mixed evidence regarding the associations between self-esteem and smoking and excessive alcohol consumption. This study aimed to investigate whether self-esteem is associated with smoking status and alcohol consumption in a large sample of adults in the United Kingdom after adjusting for age, sex, socio-economic status and depressed mood. Methods Design: Cross-sectional correlational study conducted under the aegis of the British Broadcasting Corporation (BBC) between 2009 and 2013. Participants: 187,398 respondents (67.9% female) with a mean age of 32.82 years (SD = 12.41) providing complete data. Setting: UK. Measures Online self-report questionnaire. The outcomes were smoking status (current smoker, ever smoker) and alcohol consumption (current drinker, excessive drinker); the input variable was self-esteem measured using a Single Item Self-Esteem Scale; covariates were age, sex, SES, and depressed mood measured using a single item question. Results The odds of being an ever smoker and a current smoker were greater in people with lower self-esteem (AdjOR 0.97; 95% CI 0.95–0.99, Cohen’s d = −0.02; and AdjOR 0.96; 95% CI 0.94–0.99, Cohen’s d = −0.02 respectively). The odds of being a current drinker were lower in people with lower self-esteem (AdjOR 1.20, 95% CI 1.17–1.24, Cohen’s d = 0.10) while being an excessive drinker was associated with lower self-esteem (β = −0.13, p < 0.001, F(5, 187392) = 997.14, p < 0.001, Cohen’s d = 0.3). Conclusions Lower self-esteem appears to be positively associated with ever- and current smoking and excessive alcohol consumption and negatively associated with current alcohol consumption.","2019-12-01","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-03-03 19:34:27","100229","","","10","","Addictive Behaviors Reports","Associations between self-esteem and smoking and excessive alcohol consumption in the UK","","","","","","","en","","","","","ScienceDirect","","https://osf.io/tb8uf/files/","","","","","Smoking; Alcohol consumption; Self-esteem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TDDM3HA","journalArticle","2019","Flegr, Jaroslav; Sýkorová, Kateřina","Skin fairness is a better predictor for impaired physical and mental health than hair redness","Scientific Reports","","2045-2322","10.1038/s41598-019-54662-5","https://www.nature.com/articles/s41598-019-54662-5","About 1–2% of people of European origin have red hair. Especially female redheads are known to suffer higher pain sensitivity and higher incidence of some disorders, including skin cancer, Parkinson’s disease and endometriosis. Recently, an explorative study performed on 7,000 subjects showed that both male and female redheads score worse on many health-related variables and express a higher incidence of cancer. Here, we ran the preregistered study on a population of 4,117 subjects who took part in an anonymous electronic survey. We confirmed that the intensity of hair redness negatively correlated with physical health, mental health, fecundity and sexual desire, and positively with the number of kinds of drugs prescribed by a doctor currently taken, and with reported symptoms of impaired mental health. It also positively correlated with certain neuropsychiatric disorders, most strongly with learning disabilities disorder and phobic disorder in men and general anxiety disorder in women. However, most of these associations disappeared when the darkness of skin was included in the models, suggesting that skin fairness, not hair redness, is responsible for the associations. We discussed two possible explanations for the observed pattern, the first based on vitamin D deficiency due to the avoidance of sunbathing by subjects with sensitive skin, including some redheads, and second based on folic acid depletion in fair skinned subjects, again including some (a different subpopulation of) redheads. It must be emphasized, however, that both of these explanations are only hypothetical as no data on the concentration of vitamin D or folic acid are available for our subjects. Our results, as well as the conclusions of current reviews, suggest that the new empirical studies on the concentration of vitamin D and folic acids in relation to skin and hair pigmentation are urgently needed.","2019-12-02","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-03-20 14:54:41","1-13","","1","9","","","","","","","","","","en","2019 The Author(s)","","","","www.nature.com","","00000  https://osf.io/f67m8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9ESN3M6","journalArticle","2019","Haven, Tamarinde L.; Tijdink, Joeri K.; Pasman, H. Roeline; Widdershoven, Guy; ter Riet, Gerben; Bouter, Lex M.","Researchers’ perceptions of research misbehaviours: a mixed methods study among academic researchers in Amsterdam","Research Integrity and Peer Review","","2058-8615","10.1186/s41073-019-0081-7","https://doi.org/10.1186/s41073-019-0081-7","There is increasing evidence that research misbehaviour is common, especially the minor forms. Previous studies on research misbehaviour primarily focused on biomedical and social sciences, and evidence from natural sciences and humanities is scarce. We investigated what academic researchers in Amsterdam perceived to be detrimental research misbehaviours in their respective disciplinary fields.","2019-12-02","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-03-20 14:55:15","25","","1","4","","Res Integr Peer Rev","Researchers’ perceptions of research misbehaviours","","","","","","","en","","","","","Springer Link","","00000  https://osf.io/x6t2q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDSBP4HV","journalArticle","2019","Kelly, Megan O.; Risko, Evan F.","The Isolation Effect When Offloading Memory","Journal of Applied Research in Memory and Cognition","","2211-3681","10.1016/j.jarmac.2019.10.001","http://www.sciencedirect.com/science/article/pii/S2211368119301585","Offloading is a widespread and vital strategy for remembering. Yet, we lack a deep understanding of the mechanisms involved during the offloading of to-be-remembered information. One hypothesis is that offloading information is associated with a reduced engagement of top-down mnemonic strategies. A resulting prediction is that phenomena not solely by-products of such mechanisms should remain during offloading. We tested this prediction using the isolation effect (when recall is better for distinct items relative to nondistinct items). Participants had to remember lists of items (words) and, in most cases, were told that they could rely on an external store. On one trial, this expectation was violated, and participants had to unexpectedly rely on their internal/biological memory. Consistent with the prediction, results demonstrate a robust isolation effect irrespective of whether individuals could offload. The findings suggest that memory for distinct events is less susceptible to the typical cost of offloading to-be-remembered information.","2019-12-01","2020-10-18 17:37:14","2020-10-18 17:37:14","2020-03-05 21:32:44","471-480","","4","8","","Journal of Applied Research in Memory and Cognition","","","","","","","","en","","","","","ScienceDirect","","00000","","","","","Cognitive offloading; Distinctiveness; Isolation effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
