coder,url,first_author,publication_year,notes,Relevant,Relevant_reason,qrp_1,qrp_2,qrp_3,qrp_4,qrp_5,qrp_6,qrp_7,qrp_8,qrp_9,qrp_10,qrp_absolute_time_range,qrp_relative_time_stem,sample,population,N,posted_data,posted_materials,preregistered,os_absolute_time_range,os_relative_time_stem
coder name,paper url,last name of first author,publication year,notes imported from zotero,NA,NA,includes question about failing to report all DVs (yes/no),includes question about collecting more data after checking for significance (yes/no),includes question about failing to report all conditions (yes/no),includes question about stopping data collection early after getting desired result (yes/no),includes question about rounding p values to obtain signifigance (yes/no),includes question about selectively reporting studies that worked (yes/no),includes question about excluding obs on the basis of effect on result (yes/no),includes question about HARKing (yes/no),includes question about generalizing to untested demographics (yes/no),includes question about falsifying data (yes/no),date range when survey was administered,question stem wording re: time frame people were asked to report on,sample that the reported estimates came from,population description,sample size (of psychologists),includes question whether researcher posted study data,includes question whether researcher posted study materials,includes question whether researcher preregistered a hypothesis,date range when open science survey was administered,question stem wording re: time frame people were asked to report on
laura,NA,Agnoli,2017,"Italian sample, replication of John et al. 2012",yes,"Italian sample, replication of John et al. 2012",yes,yes,yes,yes,yes,yes,yes,yes,yes,ys,2014,Have you personally ever adoped this research practice,NA,members of Italian Association of Psychology,NA,NA,NA,NA,NA,NA
laura,http://www.davidpublisher.org/index.php/Home/Article/index?id=8404.html,Ana,2015,notes from laura: survey not limited to psych,no,data not reported for psychologists alone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1001315,Ana,2013,notes from Laura: this is not a survey of psychologists,no,notes from Laura: this is not a survey of psychologists,no,no,no,no,no,no,no,yes,no,no,"unclear when it was administered, but all questions were in reference to articles published between 1980 and 2010",question about HARKing was in relation to their published articles,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://dx.plos.org/10.1371/journal.pone.0103360,Bakker,2014,NA,no,"audit of removal of outliers in journal articles and consequences (related to qrp_7), but does not estimate prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,http://link.springer.com/10.1007/s10869-016-9456-7,Banks,2016,"This is a review and does not report original data. ""We focus primarily on the organizational sciences and related social science fields such as education, political science, and accounting.""",no,"a synthesis of surveys, not original data and focused on social science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://doi.org/10.1177/0149206315619011,Banks,2016,"has a ton of other papers listed (e.g., in table 1) that we might check; asked about other QRPs beyond John (e.g., selective inclusion of control variables)",yes,"asked about other QRPs beyond John (e.g., selective inclusion of control variables)",no,no,no,no,yes,no,yes,yes,no,yes,A 5 year period from 2009 to 2013,Whether they had ever engaged in ...,NA,authors of paper in 10 mangement journals,NA,NA,NA,NA,NA,NA
hannah,https://osf.io/bk8y7/,Beaudry,2019,data are here and Hannah has some additional summary information (they asked that I not share it widely) https://osf.io/vpwf7/,yes,"yes, author provided data and information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsure - researchers at Swinburne University (this was not a final manuscript),NA,NA,NA,NA,NA,NA
laura,https://journals.aom.org/doi/abs/10.5465/amle.9.4.zqr715,Bedeian,2010,notes from Laura: this was a survey of people in management programs,no,asks people to report knowledge of others' engagement with each behavior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://onlinelibrary.wiley.com/doi/abs/10.1111/peps.12111,Bosco,2016,Contacted study authors to ask about modification of hypotheses post-data. 20 of 53 respondents (38%) indicated at least one changed hypothesis.,yes,asks authors about HARKING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
