source,research_area,journal,year,estimate_type,estimate
Kossmeier et al. (2019),personality,Journal of Individual Differences,1980,median N,1000
Kossmeier et al. (2019),personality,Journal of Individual Differences,1981,median N,94
Kossmeier et al. (2019),personality,Journal of Individual Differences,1982,median N,200
Kossmeier et al. (2019),personality,Journal of Individual Differences,1983,median N,162
Kossmeier et al. (2019),personality,Journal of Individual Differences,1984,median N,102
Kossmeier et al. (2019),personality,Journal of Individual Differences,1985,median N,179.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,1986,median N,119
Kossmeier et al. (2019),personality,Journal of Individual Differences,1987,median N,165.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,1988,median N,107
Kossmeier et al. (2019),personality,Journal of Individual Differences,1989,median N,119
Kossmeier et al. (2019),personality,Journal of Individual Differences,1990,median N,100
Kossmeier et al. (2019),personality,Journal of Individual Differences,1991,median N,152
Kossmeier et al. (2019),personality,Journal of Individual Differences,1992,median N,156
Kossmeier et al. (2019),personality,Journal of Individual Differences,1993,median N,123.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,1994,median N,204
Kossmeier et al. (2019),personality,Journal of Individual Differences,1995,median N,151
Kossmeier et al. (2019),personality,Journal of Individual Differences,1996,median N,216
Kossmeier et al. (2019),personality,Journal of Individual Differences,1997,median N,79.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,1998,median N,288
Kossmeier et al. (2019),personality,Journal of Individual Differences,1999,median N,192
Kossmeier et al. (2019),personality,Journal of Individual Differences,2000,median N,248
Kossmeier et al. (2019),personality,Journal of Individual Differences,2001,median N,277.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2002,median N,229
Kossmeier et al. (2019),personality,Journal of Individual Differences,2003,median N,183.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2004,median N,218
Kossmeier et al. (2019),personality,Journal of Individual Differences,2005,median N,193
Kossmeier et al. (2019),personality,Journal of Individual Differences,2006,median N,126
Kossmeier et al. (2019),personality,Journal of Individual Differences,2007,median N,307
Kossmeier et al. (2019),personality,Journal of Individual Differences,2008,median N,199.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2009,median N,252
Kossmeier et al. (2019),personality,Journal of Individual Differences,2010,median N,121
Kossmeier et al. (2019),personality,Journal of Individual Differences,2011,median N,179.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2012,median N,155
Kossmeier et al. (2019),personality,Journal of Individual Differences,2013,median N,200
Kossmeier et al. (2019),personality,Journal of Individual Differences,2014,median N,265.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2015,median N,205
Kossmeier et al. (2019),personality,Journal of Individual Differences,2016,median N,197.5
Kossmeier et al. (2019),personality,Journal of Individual Differences,2017,median N,229.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1980,median N,180
Kossmeier et al. (2019),personality,Personality and Individual Differences,1981,median N,97
Kossmeier et al. (2019),personality,Personality and Individual Differences,1982,median N,125
Kossmeier et al. (2019),personality,Personality and Individual Differences,1983,median N,117.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1984,median N,88.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1985,median N,90
Kossmeier et al. (2019),personality,Personality and Individual Differences,1986,median N,151
Kossmeier et al. (2019),personality,Personality and Individual Differences,1987,median N,93
Kossmeier et al. (2019),personality,Personality and Individual Differences,1988,median N,96
Kossmeier et al. (2019),personality,Personality and Individual Differences,1989,median N,204
Kossmeier et al. (2019),personality,Personality and Individual Differences,1990,median N,105.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1991,median N,137
Kossmeier et al. (2019),personality,Personality and Individual Differences,1992,median N,109
Kossmeier et al. (2019),personality,Personality and Individual Differences,1993,median N,120
Kossmeier et al. (2019),personality,Personality and Individual Differences,1994,median N,107.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1995,median N,162.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1996,median N,153
Kossmeier et al. (2019),personality,Personality and Individual Differences,1997,median N,187
Kossmeier et al. (2019),personality,Personality and Individual Differences,1998,median N,141.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,1999,median N,127
Kossmeier et al. (2019),personality,Personality and Individual Differences,2000,median N,182
Kossmeier et al. (2019),personality,Personality and Individual Differences,2001,median N,256
Kossmeier et al. (2019),personality,Personality and Individual Differences,2002,median N,178
Kossmeier et al. (2019),personality,Personality and Individual Differences,2003,median N,172
Kossmeier et al. (2019),personality,Personality and Individual Differences,2004,median N,176
Kossmeier et al. (2019),personality,Personality and Individual Differences,2005,median N,182.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,2006,median N,236
Kossmeier et al. (2019),personality,Personality and Individual Differences,2007,median N,182
Kossmeier et al. (2019),personality,Personality and Individual Differences,2008,median N,231
Kossmeier et al. (2019),personality,Personality and Individual Differences,2009,median N,213
Kossmeier et al. (2019),personality,Personality and Individual Differences,2010,median N,271.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,2011,median N,220
Kossmeier et al. (2019),personality,Personality and Individual Differences,2012,median N,228
Kossmeier et al. (2019),personality,Personality and Individual Differences,2013,median N,273
Kossmeier et al. (2019),personality,Personality and Individual Differences,2014,median N,237
Kossmeier et al. (2019),personality,Personality and Individual Differences,2015,median N,251
Kossmeier et al. (2019),personality,Personality and Individual Differences,2016,median N,294.5
Kossmeier et al. (2019),personality,Personality and Individual Differences,2017,median N,288.5
