"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UGWPUVE2","journalArticle","2015","Vermeulen, Ivar; Hartmann, Tilo","Questionable Research and Publication Practices in Communication Science","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2015.1096331","http://www.tandfonline.com/doi/full/10.1080/19312458.2015.1096331","","2015-10-02","2020-10-18 18:46:29","2020-10-18 18:46:29","2020-10-18 18:46:29","189-192","","4","9","","Communication Methods and Measures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLWMW3MU","journalArticle","2017","Butler, Nick; Delaney, Helen; Spoelstra, Sverre","The Gray Zone: Questionable Research Practices in the Business School","Academy of Management Learning & Education","","1537-260X, 1944-9585","10.5465/amle.2015.0201","http://journals.aom.org/doi/10.5465/amle.2015.0201","","2017-03","2020-10-18 18:47:18","2020-10-18 18:47:18","2020-10-18 18:47:18","94-109","","1","16","","AMLE","The Gray Zone","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDAWV8GC","journalArticle","2019","Janke, Stefan; Daumiller, Martin; Rudert, Selma Carolin","Dark Pathways to Achievement in Science: Researchers’ Achievement Goals Predict Engagement in Questionable Research Practices","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550618790227","http://journals.sagepub.com/doi/10.1177/1948550618790227","Questionable research practices (QRPs) are a strongly debated topic in the scientific community. Hypotheses about the relationship between individual differences and QRPs are plentiful but have rarely been empirically tested. Here, we investigate whether researchers’ personal motivation (expressed by achievement goals) is associated with self-reported engagement in QRPs within a sample of 217 psychology researchers. Appearance approach goals (striving for skill demonstration) positively predicted engagement in QRPs, while learning approach goals (striving for skill development) were a negative predictor. These effects remained stable when also considering Machiavellianism, narcissism, and psychopathy in a latent multiple regression model. Additional moderation analyses revealed that the more researchers favored publishing over scientific rigor, the stronger the association between appearance approach goals and engagement in QRPs. The findings deliver first insights into the nature of the relationship between personal motivation and scientific malpractice.","2019-08","2020-10-18 18:48:01","2020-10-18 18:48:01","2020-10-18 18:48:01","783-791","","6","10","","Social Psychological and Personality Science","Dark Pathways to Achievement in Science","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\EZJFXF4K\Janke et al. - 2019 - Dark Pathways to Achievement in Science Researche.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSD59KD3","journalArticle","2014","Ioannidis, John P.A.; Munafò, Marcus R.; Fusar-Poli, Paolo; Nosek, Brian A.; David, Sean P.","Publication and other reporting biases in cognitive sciences: detection, prevalence, and prevention","Trends in Cognitive Sciences","","13646613","10.1016/j.tics.2014.02.010","https://linkinghub.elsevier.com/retrieve/pii/S1364661314000540","","2014-05","2020-10-18 18:49:23","2020-10-18 18:49:23","2020-10-18 18:49:23","235-241","","5","18","","Trends in Cognitive Sciences","Publication and other reporting biases in cognitive sciences","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\BWNZANZM\Ioannidis et al. - 2014 - Publication and other reporting biases in cognitiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EI5R8WIH","journalArticle","2016","Nuijten, Michèle B.; Hartgerink, Chris H. J.; van Assen, Marcel A. L. M.; Epskamp, Sacha; Wicherts, Jelte M.","The prevalence of statistical reporting errors in psychology (1985–2013)","Behavior Research Methods","","1554-3528","10.3758/s13428-015-0664-2","http://link.springer.com/10.3758/s13428-015-0664-2","","2016-12","2020-10-18 18:49:46","2020-10-18 18:49:46","2020-10-18 18:49:46","1205-1226","","4","48","","Behav Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\WI429XT7\Nuijten et al. - 2016 - The prevalence of statistical reporting errors in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"442Z29NS","journalArticle","2018","Washburn, Anthony N.; Hanson, Brittany E.; Motyl, Matt; Skitka, Linda J.; Yantis, Caitlyn; Wong, Kendal M.; Sun, Jiaqing; Prims, J. P.; Mueller, Allison B.; Melton, Zachary J.; Carsel, Timothy S.","Why Do Some Psychology Researchers Resist Adopting Proposed Reforms to Research Practices? A Description of Researchers’ Rationales","Advances in Methods and Practices in Psychological Science","","2515-2459, 2515-2467","10.1177/2515245918757427","http://journals.sagepub.com/doi/10.1177/2515245918757427","","2018-06","2020-10-18 18:50:20","2020-10-18 18:50:20","2020-10-18 18:50:20","166-173","","2","1","","Advances in Methods and Practices in Psychological Science","Why Do Some Psychology Researchers Resist Adopting Proposed Reforms to Research Practices?","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHP8ESUH","journalArticle","2017","Giofrè, David; Cumming, Geoff; Fresc, Luca; Boedker, Ingrid; Tressoldi, Patrizio","The influence of journal submission guidelines on authors' reporting of statistics and use of open research practices","PLOS ONE","","1932-6203","10.1371/journal.pone.0175583","https://dx.plos.org/10.1371/journal.pone.0175583","","2017-04-17","2020-10-18 18:53:00","2020-10-18 18:53:00","2020-10-18 18:53:00","e0175583","","4","12","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\HNLAMVI2\Giofrè et al. - 2017 - The influence of journal submission guidelines on .pdf","","","","Wicherts, Jelte M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L97PFFES","journalArticle","2020","Hardwicke, Tom E.; Wallach, Joshua D.; Kidwell, Mallory C.; Bendixen, Theiss; Crüwell, Sophia; Ioannidis, John P. A.","An empirical assessment of transparency and reproducibility-related research practices in the social sciences (2014–2017)","Royal Society Open Science","","2054-5703, 2054-5703","10.1098/rsos.190806","https://royalsocietypublishing.org/doi/10.1098/rsos.190806","Serious concerns about research quality have catalysed a number of reform initiatives intended to improve transparency and reproducibility and thus facilitate self-correction, increase efficiency and enhance research credibility. Meta-research has evaluated the merits of some individual initiatives; however, this may not capture broader trends reflecting the cumulative contribution of these efforts. In this study, we manually examined a random sample of 250 articles in order to estimate the prevalence of a range of transparency and reproducibility-related indicators in the social sciences literature published between 2014 and 2017. Few articles indicated availability of materials (16/151, 11% [95% confidence interval, 7% to 16%]), protocols (0/156, 0% [0% to 1%]), raw data (11/156, 7% [2% to 13%]) or analysis scripts (2/156, 1% [0% to 3%]), and no studies were pre-registered (0/156, 0% [0% to 1%]). Some articles explicitly disclosed funding sources (or lack of; 74/236, 31% [25% to 37%]) and some declared no conflicts of interest (36/236, 15% [11% to 20%]). Replication studies were rare (2/156, 1% [0% to 3%]). Few studies were included in evidence synthesis via systematic review (17/151, 11% [7% to 16%]) or meta-analysis (2/151, 1% [0% to 3%]). Less than half the articles were publicly available (101/250, 40% [34% to 47%]). Minimal adoption of transparency and reproducibility-related research practices could be undermining the credibility and efficiency of social science research. The present study establishes a baseline that can be revisited in the future to assess progress.","2020-02","2020-10-18 18:54:20","2020-10-18 18:54:20","2020-10-18 18:54:20","190806","","2","7","","R. Soc. open sci.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\NKVS6UBS\Hardwicke et al. - 2020 - An empirical assessment of transparency and reprod.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TPMCVYAU","journalArticle","2015","Vanpaemel, Wolf; Vermorgen, Maarten; Deriemaecker, Leen; Storms, Gert","Are We Wasting a Good Crisis? The Availability of Psychological Research Data after the Storm","Collabra","","2376-6832","10.1525/collabra.13","http://collabra.org/article/view/collabra.13/","","2015-10-09","2020-10-18 18:55:22","2020-10-18 18:55:22","2020-10-18 18:55:22","","","1","1","","","Are We Wasting a Good Crisis?","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\RHSUCFPH\Vanpaemel et al. - 2015 - Are We Wasting a Good Crisis The Availability of .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59AXTH3E","journalArticle","2014","Bakker, Marjan; Wicherts, Jelte M.","Outlier Removal and the Relation with Reporting Errors and Quality of Psychological Research","PLoS ONE","","1932-6203","10.1371/journal.pone.0103360","https://dx.plos.org/10.1371/journal.pone.0103360","","2014-07-29","2020-10-18 18:58:14","2020-10-18 18:58:14","2020-10-18 18:58:14","e103360","","7","9","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\hmosh\Zotero\storage\IQUHFF7V\Bakker and Wicherts - 2014 - Outlier Removal and the Relation with Reporting Er.pdf","","","","Gluud, Lise Lotte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
