Source,research_area,journal,year,estimate type,Estimate
Fraley and Vazier (2014),personality,Journal of Personality,2006,median N,211
Fraley and Vazier (2014),personality,Journal of Personality,2007,median N,160
Fraley and Vazier (2014),personality,Journal of Personality,2008,median N,162
Fraley and Vazier (2014),personality,Journal of Personality,2009,median N,184.5
Fraley and Vazier (2014),personality,Journal of Personality,2010,median N,173
Fraley and Vazier (2014),personality,Journal of Research in Personality,2006,median N,81
Fraley and Vazier (2014),personality,Journal of Research in Personality,2007,median N,126
Fraley and Vazier (2014),personality,Journal of Research in Personality,2008,median N,165
Fraley and Vazier (2014),personality,Journal of Research in Personality,2009,median N,133
Fraley and Vazier (2014),personality,Journal of Research in Personality,2010,median N,140
Fraley and Vazier (2014),social/personality,Personality and Social Psychology Bulletin,2006,median N,112
Fraley and Vazier (2014),social/personality,Personality and Social Psychology Bulletin,2007,median N,86
Fraley and Vazier (2014),social/personality,Personality and Social Psychology Bulletin,2008,median N,89
Fraley and Vazier (2014),social/personality,Personality and Social Psychology Bulletin,2009,median N,96.5
Fraley and Vazier (2014),social/personality,Personality and Social Psychology Bulletin,2010,median N,89.5
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2006,median N,80
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2007,median N,86.5
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2008,median N,93
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2009,median N,95
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2010,median N,96
Fraley and Vazier (2014),social/personality,Journal of Experimental Social Psychology,2006,median N,114
Fraley and Vazier (2014),social/personality,Journal of Experimental Social Psychology,2007,median N,55.5
Fraley and Vazier (2014),social/personality,Journal of Experimental Social Psychology,2008,median N,88
Fraley and Vazier (2014),social/personality,Journal of Experimental Social Psychology,2009,median N,77
Fraley and Vazier (2014),social/personality,Journal of Experimental Social Psychology,2010,median N,98
Fraley and Vazier (2014),general,Psychological Science,2006,median N,67
Fraley and Vazier (2014),general,Psychological Science,2007,median N,91
Fraley and Vazier (2014),general,Psychological Science,2008,median N,51.5
Fraley and Vazier (2014),general,Psychological Science,2009,median N,78.5
Fraley and Vazier (2014),general,Psychological Science,2010,median N,76
Fraley and Vazier (2014),social/personality,Journal of Personality and Social Psychology,2006 to 2010,mean N ,140
Reis and Stiller (1992),social/personality,Journal of Personality and Social Psychology,1968,mean N,141
Reis and Stiller (1992),social/personality,Journal of Personality and Social Psychology,1978,mean N,158
Reis and Stiller (1992),social/personality,Journal of Personality and Social Psychology,1988,mean N ,200
Marszalek et al. (2011),clinical,Journal of Abnormal Psychology,1977,median N,51.50
Marszalek et al. (2011),clinical,Journal of Abnormal Psychology,1995,median N,70
Marszalek et al. (2011),clinical,Journal of Abnormal Psychology,2006,median N,107
Marszalek et al. (2011),general,Journal of Applied Psychology,1977,median N,114.5
Marszalek et al. (2011),general,Journal of Applied Psychology,1995,median N,146
Marszalek et al. (2011),general,Journal of Applied Psychology,2006,median N,148
Marszalek et al. (2011),developmental,Developmental Psychology,1977,median N,60.16
Marszalek et al. (2011),developmental,Developmental Psychology,1995,median N,60
Marszalek et al. (2011),developmental,Developmental Psychology,2006,median N,114
Marszalek et al. (2011),general,Journal of Experimental Psychology: Human Perception and Performance,1977,median N,12.2
Marszalek et al. (2011),general,Journal of Experimental Psychology: Human Perception and Performance,1995,median N,15
Marszalek et al. (2011),general,Journal of Experimental Psychology: Human Perception and Performance,2006,median N,18
Reardon et al. (2019),clinical,Journal of Abnormal Psychology,2000,median N,95
Reardon et al. (2019),clinical,Journal of Abnormal Psychology,2005,median N,165.6
Reardon et al. (2019),clinical,Journal of Abnormal Psychology,2010,median N,164
Reardon et al. (2019),clinical,Journal of Abnormal Psychology,2015,median N,276
Reardon et al. (2019),clinical,Journal of Consulting and Clinical Psychology,2000,median N,159
Reardon et al. (2019),clinical,Journal of Consulting and Clinical Psychology,2005,median N,192
Reardon et al. (2019),clinical,Journal of Consulting and Clinical Psychology,2010,median N,194
Reardon et al. (2019),clinical,Journal of Consulting and Clinical Psychology,2015,median N,184
Schweizer and Furley (2016),sport/exercise,International Journal of Sport Psychology,2009,median N,46
Schweizer and Furley (2016),sport/exercise,International Journal of Sport Psychology,2010,median N,47
