VariableNameInData,VariableType,VariableNameInSurvey,ItemText,ItemTextShort,MinValue,MaxValue,Scoring,ReverseCoded,FactorLevels,Scale
ParticipantNumber,integer,ParticipantNumber,Participant Number Assigned After Data Collection,Participant Number,,,,,,
,,,,,,,,,,
OverallExp,factor,OverallExperience,What is your experience with open science practices? ,,,,,,"""Until now, I was unaware of open science practices""; ""I am aware of open science, but have not used open science practices in my research"" ""I have some experience with open science practices""; ""I have extensive experience with open science practices""",
,,,,,,,,,,
PreRegImp,factor,PreRegImp,"In your opinion, how important for your field is it that researchers preregister their studies?",,,,,,"""Researchers in my discipline do not conduct research studies""; ""Extremely important""; ""Somewhat important""; ""Somewhat unimportant""; ""Not at all important""",
PreRegExp,factor,PreregExp1,What is your experience with study preregistration?,,,,,,"""Until now, I was unaware of study preregistration""; ""I am aware of study pregistration, but have not used it in my research""; ""I have some experience with study preregistration, but do not use it regularly""; ""I regularly preregister my studies""",
,,,,,,,,,,
,,,"Question Stem for PreRegUse: ""How have you used study preregistration?""",,,,,,,
PreRegUse_clinicalTrial,number,PreregUse_1,I have preregistered at least one clinical trial on a clinical trials database,,,1,1 = endorsement,,,PreRegUse
PreRegUse_non-clinical,number,PreregUse_2,I have preregistered at least one study that was not a clinical trial,,,1,1 = endorsement,,,PreRegUse
PreRegUse_RR,number,PreregUse_4,I have submitted a Stage 1 Registered Report to a journal,,,1,1 = endorsement,,,PreRegUse
PreRegUse_protocol,number,PreregUse_6,I have published a research protocol prior to carrying out the study,,,1,1 = endorsement,,,PreRegUse
PreRegUse_other,number,PreregUse_7,Other,,,1,1 = endorsement,,,PreRegUse
PreRegUse_text,string,PreregUse_7_TEXT,Other: Text,,,<text>,,,,PreRegUse
,,,,,,,,,,
PreRegHigh,factor,PreRegExp2,Which of the following best describes your highest level of experience with study preregistration?,,,,,,"""I have preregistered a study, but have not yet analysed the data""; ""I have preregistered a study and am currently writing up the manuscript""; ""I have preregistered a study and submitted it for publication""; ""I have published one preregistered study""; ""I have published 2 or more preregistered studies""; ""other"" <see PreRegExpHigh_TEXT variable>",
PreRegHigh_text,string,PreRegExp2_TEXT,"Text responses for those who selected ""Other"" in PreRegHigh",,,,,,,
,,,,,,,,,,
,,,"Question Stem for RRExp: ""Which of the following best describes your highest level of experience with study preregistration?""",,,,,,,
RRExp_stage1_acc,number,RRExp_1,I have had a Stage 1 acceptance from a journal,,,1,1 = endorsement,,,RRExp
RRExp_stage2_acc,number,RRExp_4,I have had a Stage 2 acceptance from a journal,,,1,1 = endorsement,,,RRExp
RRExp_stage1_rej,number,RRExp_5,I have had a Stage 1 rejection from a journal,,,1,1 = endorsement,,,RRExp
RRExp_stage2_rej,number,RRExp_6,I have had a Stage 2 rejection from a journal,,,1,1 = endorsement,,,RRExp
RRExp_other,number,RRExp_7,Other,,,1,1 = endorsement,,,RRExp
RRExp_text,string,RRExp_7_TEXT,Other: Text,,,,,,,
,,,,,,,,,,
PreRegConcerns,factor,prereg-concerns,Do you have any concerns about preregistering your studies?,,,,,,"""No""; ""Yes""",
PreRegConcernsText,string,PreRegConList,What are these concerns?,,,,,,,
,,,,,,,,,,
,,,"Question Stem for PreRegConcern_x: ""The following are possible concerns that researchers could have about preregistering their studies. Please place a tick beside any concern that you share."" ",,,,,,,
PreRegCon_delay,number,PreregConcern_4,It might delay data collection,Delays data collection,,1,1 = endorsement,,,PreRegConcern
PreRegCon_look,number,PreregConcern_5,I need to look at my data before I can decide how to best analyse it,Need to look at data to analyse it,,1,1 = endorsement,,,PreRegConcern
PreRegCon_prevent_exp,number,PreregConcern_6,Preregistration prevents exploratory research,Prevents exploratory research,,1,1 = endorsement,,,PreRegConcern
PreRegCon_stifle_creativity,number,PreregConcern_7,Preregistration stifles research creativity or flexibility,Stifles creativity,,1,1 = endorsement,,,PreRegConcern
PreRegCon_scooping,number,PreregConcern_8,Preregistration might lead to other people taking my research idea and implementing my plan,Risk of scooping,,1,1 = endorsement,,,PreRegConcern
